Time,J06_10011_1,J06_10011_1,J06_10011_1,J06_9079_1,J06_9079_1,J06_9079_1,DAIRYFORK_MOULTON,DAIRYFORK_MOULTON
and,236.34,231,262,236.34,231,262,232.37,262
Date,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean
6/11/2022 0:00,77.7,8.79,0.001,68.2,0.48,0.023,0.411,0.127
6/12/2022 0:00,77.7,8.81,0,68.3,0.41,0.017,0.402,0.108
6/13/2022 0:00,77.6,8.91,0.001,68.2,0.49,0.026,0.411,0.128
6/14/2022 0:00,77.6,8.9,0.003,68.3,0.45,0.02,0.412,0.13
6/15/2022 0:00,77.6,8.87,0.002,68.2,0.54,0.028,0.423,0.155
6/16/2022 0:00,77.6,8.84,0.001,68.1,0.6,0.035,0.435,0.185
6/17/2022 0:00,77.7,8.82,0.001,68.2,0.5,0.026,0.431,0.176
6/18/2022 0:00,77.7,8.74,0,68.3,0.42,0.02,0.407,0.122
6/19/2022 0:00,77.7,8.75,0.002,68.4,0.37,0.014,0.389,0.085
6/20/2022 0:00,77.7,8.76,0,68.2,0.5,0.024,0.406,0.116
6/21/2022 0:00,77.7,8.83,0.001,68.3,0.46,0.022,0.396,0.098
6/22/2022 0:00,77.5,8.97,0.006,68.3,0.45,0.03,0.416,0.147
6/23/2022 0:00,77.6,8.86,0,68.2,0.57,0.031,0.423,0.156
6/24/2022 0:00,77.5,8.93,0,68.2,0.55,0.031,0.426,0.166
6/25/2022 0:00,77.5,8.93,0,68.2,0.51,0.029,0.415,0.137
6/26/2022 0:00,77.6,8.92,0.001,68.2,0.52,0.026,0.396,0.097
6/27/2022 0:00,77.5,8.95,0.002,68.2,0.57,0.033,0.42,0.149
6/28/2022 0:00,77.6,8.9,0.001,68.2,0.57,0.032,0.413,0.133
6/29/2022 0:00,77.6,8.89,0.004,68.2,0.5,0.027,0.425,0.161
6/30/2022 0:00,77.6,8.86,0,68.2,0.49,0.027,0.419,0.145
7/1/2022 0:00,77.6,8.92,0.001,68.2,0.54,0.03,0.436,0.19
7/2/2022 0:00,77.5,8.98,0.003,68.3,0.41,0.02,0.428,0.168
7/3/2022 0:00,77.5,9.01,0.006,68.3,0.44,0.02,0.407,0.12
