OBJECTID,Location Description,Size 1,Last Update Date,Last Editor,Size 2,Size 3,CatchID,DrainID,Inspection Status,Facility Type,Jurisdiction,Watershed Management Area,GlobalID,PRIORITY,Flow Monitoring Status,Flow Monitoring Deploy Date,Flow Monitoring Return Date,Next Inspection Date,POINT_X,POINT_Y,Persistent Flow,Facility Identifier,Survey Link,Outfall Capture Feasibility Study,Dry Weather Samples,Accessibility,Flow Measurement Count,Last Discharge Observation,Last Discharge Measurement Trend,AVGFLOWWIDTH,AVGFLOWDEPTH,AVGFLOWVEL,AVGDISCHARGE,MAXDISCHARGE,MINDISCHARGE
600,"GGSHAN84@CHP
",84,7/16/2021 18:12,OCENVRESUSER,,,2747,C03,Verified,Outfall,Garden Grove,North,{12F39D15-B4AD-401E-B875-430173736B8F},,,,,,-117.9648699,33.78855891,,C03-2747-3,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={12F39D15-B4AD-401E-B875-430173736B8F}&field:Station=C03-2747-3,No,No,,,,,,,,,,
601,"GGABCRCB@EUC
",72,7/16/2021 18:12,OCENVRESUSER,,,3279,C03,Verified,Outfall,Garden Grove,North,{A080A25D-E182-4D44-A92A-E631D0D1B782},,,,,,-117.9415525,33.79781781,,C03-3279-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={A080A25D-E182-4D44-A92A-E631D0D1B782}&field:Station=C03-3279-1,No,No,,,,,,,,,,
602,"STSTAN42DSW
",,7/16/2021 18:12,OCENVRESUSER,,,2195,C02,Verified,,Garden Grove,North,{414329FF-17D5-49EF-9E80-E3F9DE20AC15},,,,,,-118.00516,33.799,,C02-2195-3,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={414329FF-17D5-49EF-9E80-E3F9DE20AC15}&field:Station=C02-2195-3,No,No,,,,,,,,,,
603,"GGC02S0172DS
",,7/16/2021 18:12,OCENVRESUSER,,,2794,C02,Verified,,Cypress,North,{49C63714-5947-43D2-8546-0BD84E1B0B58},,,,,,-118.01125,33.79955,,C02-2794-2,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={49C63714-5947-43D2-8546-0BD84E1B0B58}&field:Station=C02-2794-2,No,No,,,,,,,,,,
604,"CYPC02S014X7
",,7/16/2021 18:12,OCENVRESUSER,17,4,2795,C02,Verified,Box,Cypress,North,{7FF2A40B-4A5B-4B6A-9269-7608A4B2E79D},,,,,,-118.0198744,33.79939635,,C02-2795-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={7FF2A40B-4A5B-4B6A-9269-7608A4B2E79D}&field:Station=C02-2795-1,No,No,,,,,,,,,,
605,"CYPSTANT@VV
",27,7/16/2021 18:12,OCENVRESUSER,,,3139,C02,Verified,Outfall,Cypress,North,{DFD999AB-B7EB-4C30-8A93-B0AB6D6C3978},,,,,,-118.0279907,33.79937042,,C02-3139-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={DFD999AB-B7EB-4C30-8A93-B0AB6D6C3978}&field:Station=C02-3139-1,No,No,,,,,,,,,,
606,"LAFPS@A01
",,7/16/2021 18:12,OCENVRESUSER,,,2797,B01,Removed From Inventory,,Los Alamitos,North,{D5991FB6-7A90-4BF0-8984-F62AE7A9F069},,,,,,-118.0701742,33.81532666,,B01-2797-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={D5991FB6-7A90-4BF0-8984-F62AE7A9F069}&field:Station=B01-2797-1,No,No,,,,,,,,,,
607,"CYPB0178@VL
",,7/16/2021 18:12,OCENVRESUSER,,,2274,B01,Verified,,Cypress,North,{1D8C9035-66A6-426A-BEBF-BE7233962633},,,,,,-118.05898,33.81857,,B01-2274-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={1D8C9035-66A6-426A-BEBF-BE7233962633}&field:Station=B01-2274-1,No,No,,,,,,,,,,
608,"CYPB01S01
",,7/16/2021 18:12,OCENVRESUSER,,,2274,B01,Verified,,Cypress,North,{2BE5F0D8-AFA4-4854-BABA-CA8B00DD00B7},,,,,,-118.05656,33.81786,,B01-2274-2,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={2BE5F0D8-AFA4-4854-BABA-CA8B00DD00B7}&field:Station=B01-2274-2,No,No,,,,,,,,,,
609,"CYPB01PS2
",30,7/16/2021 18:12,OCENVRESUSER,,,1990,B01,Verified,Outfall,Cypress,North,{ED37C757-0646-4A5F-85D5-FAA0C8B2CB31},,,,,,-118.0508115,33.81525358,,B01-1990-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={ED37C757-0646-4A5F-85D5-FAA0C8B2CB31}&field:Station=B01-1990-1,No,No,,,,,,,,,,
610,"CYPB0157@MDY
",,7/16/2021 18:12,OCENVRESUSER,,,2287,B01,Verified,,Cypress,North,{28656D31-2313-411A-B7B3-3B0E44677938},,,,,,-118.04598,33.81514,,B01-2287-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={28656D31-2313-411A-B7B3-3B0E44677938}&field:Station=B01-2287-1,No,No,,,,,,,,,,
611,"CYPB01PS1
",,7/16/2021 18:12,OCENVRESUSER,6,5,2794,B01,Verified,Box,Cypress,North,{0FC810FC-7007-4F23-9D45-80158DD148A5},,,,,,-118.0435952,33.81506508,Unknown,B01-2794-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={0FC810FC-7007-4F23-9D45-80158DD148A5}&field:Station=B01-2794-1,No,No,Easily accessible,,,,,,,,,
612,"CYPB0160@WKR
",60,7/16/2021 18:12,OCENVRESUSER,,,2251,B01,Verified,Outfall,Cypress,North,{0E85C361-5791-4EBA-9D8E-6391988AB32F},,,,,,-118.03693,33.81553,Unknown,B01-2251-3,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={0E85C361-5791-4EBA-9D8E-6391988AB32F}&field:Station=B01-2251-3,No,No,Easily accessible,1,0.002136,,0.07,0.03,5.9,0.002136,0.002136,0.002136
614,"CYPP42@DLONG
",,7/16/2021 18:12,OCENVRESUSER,,,2501,B02,Verified,,Cypress,North,{90B6AC6C-1D8D-4524-A921-6F667CBF9D99},,,,,,-118.04129,33.83553,,B02-2501-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={90B6AC6C-1D8D-4524-A921-6F667CBF9D99}&field:Station=B02-2501-1,No,No,,,,,,,,,,
615,"LPB02P04
",,7/16/2021 18:12,OCENVRESUSER,,,2505,B02,Removed From Inventory,,La Palma,North,{CB34D71F-B750-4944-B689-6923D1F9543F},,,,,,-118.0312122,33.8461398,,B02-2505-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={CB34D71F-B750-4944-B689-6923D1F9543F}&field:Station=B02-2505-1,No,No,,,,,,,,,,
616,"ANAB0151@WES
",51,7/16/2021 18:12,OCENVRESUSER,,,1980,B01,Verified,Outfall,Anaheim,North,{569E8014-956A-4B61-B244-73EC24E12EF6},,,,,,-118.0020352,33.8242085,Unknown,B01-1980-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={569E8014-956A-4B61-B244-73EC24E12EF6}&field:Station=B01-1980-1,No,No,Easily accessible,1,0.021,,1.2,0.07,24,0.021,0.021,0.021
617,"STBB@PAC
",,7/16/2021 18:12,OCENVRESUSER,,,2765,C02,Verified,,Stanton,North,{516CCE6E-21F4-46EB-8A71-8F841AA2F185},,,,,,-117.9954,33.80705,,C02-2765-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={516CCE6E-21F4-46EB-8A71-8F841AA2F185}&field:Station=C02-2765-1,No,No,,,,,,,,,,
618,"BPARA01
",36,7/16/2021 18:12,OCENVRESUSER,,,1000,A01,Verified,Outfall,Buena Park,North,{A2137D73-819C-42BF-AEF7-B82D50AF15E1},,,,,,-118.02065,33.87186,Unknown,A01-1000-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={A2137D73-819C-42BF-AEF7-B82D50AF15E1}&field:Station=A01-1000-1,No,No,Easily accessible,,,,,,,,,
619,"BPA03RCBDSW
",,7/16/2021 18:12,OCENVRESUSER,6.5,5,1405,A03,Verified,Box,Buena Park,North,{2E6ED26E-B1D8-4077-892A-D358172A0D9A},,,,,,-118.00808,33.86192,Unknown,A03-1405-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={2E6ED26E-B1D8-4077-892A-D358172A0D9A}&field:Station=A03-1405-1,No,No,Easily accessible,,,,,,,,,
620,"BPA02RCPDSW
",72,7/16/2021 18:12,OCENVRESUSER,,,1139,A02,Verified,,Buena Park,North,{6E9BEC6C-287E-4FEA-8D82-81326F542397},,,,,,-118.00287,33.87797,,A02-1139-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={6E9BEC6C-287E-4FEA-8D82-81326F542397}&field:Station=A02-1139-1,No,No,,,,,,,,,,
621,"BPDSA01
",,7/16/2021 18:12,OCENVRESUSER,,,1013,A01,Verified,,Buena Park,North,{3678DD44-77F7-4D65-94A2-6A23FBA0CAB2},,,,,,-117.9999495,33.88135765,,A01-1013-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={3678DD44-77F7-4D65-94A2-6A23FBA0CAB2}&field:Station=A01-1013-1,No,No,,,,,,,,,,
622,"BPA0212X6USD
",,7/16/2021 18:12,OCENVRESUSER,12,6,1136,A02,Verified,Box,Buena Park,North,{70FDE17E-61E4-4BA0-B064-41F36F69E295},,,,,,-117.9863262,33.87747212,,A02-1136-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={70FDE17E-61E4-4BA0-B064-41F36F69E295}&field:Station=A02-1136-1,No,No,,,,,,,,,,
623,"ANAWASD@CRB
",,7/16/2021 18:12,OCENVRESUSER,,,2043,B01,Verified,,Anaheim,North,{DF292E5F-760B-47F5-A994-3426E69D49A0},,,,,,-117.95038,33.83981,,B01-2043-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={DF292E5F-760B-47F5-A994-3426E69D49A0}&field:Station=B01-2043-1,No,No,,,,,,,,,,
624,"FULA0272@AH
",48,7/16/2021 18:12,OCENVRESUSER,,,1204,A02,Verified,Outfall,Fullerton,North,{C87BF03F-941F-4A3F-9443-9532452862B1},,,,,,-117.96369,33.87724,,A02-1204-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={C87BF03F-941F-4A3F-9443-9532452862B1}&field:Station=A02-1204-1,No,No,,,,,,,,,,
625,"ANAHGC03
",63,7/16/2021 18:12,OCENVRESUSER,,,2268,C03,Verified,Outfall,Anaheim,North,{5AC4083D-3C80-4540-844F-DA8B00E71C6D},,,,,,-117.9325837,33.81782581,,C03-2268-4,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={5AC4083D-3C80-4540-844F-DA8B00E71C6D}&field:Station=C03-2268-4,No,No,,,,,,,,,,
626,"ANACIT@B01
",,7/16/2021 18:12,OCENVRESUSER,,,1995,B01,Verified,,Anaheim,North,{9ABD31F8-3943-4209-8D54-F8828E52B8C6},,,,,,-117.92926,33.84699,,B01-1995-2,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={9ABD31F8-3943-4209-8D54-F8828E52B8C6}&field:Station=B01-1995-2,No,No,,,,,,,,,,
627,"FULA03S05
",,7/16/2021 18:12,OCENVRESUSER,,,1512,A03,Verified,Box,Fullerton,North,{51FA349F-CAC9-4E56-A4CE-AA4FC486DEAD},,,,,,-117.9113,33.86485,,A03-1512-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={51FA349F-CAC9-4E56-A4CE-AA4FC486DEAD}&field:Station=A03-1512-1,No,No,,,,,,,,,,
628,"FULB01@SCO
",,7/16/2021 18:12,OCENVRESUSER,,,2068,B01,Removed From Inventory,Box,Fullerton,North,{C756B899-EEB7-45E2-84A4-5032A3839BC4},,,,,,-117.8895677,33.85800542,,B01-2068-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={C756B899-EEB7-45E2-84A4-5032A3839BC4}&field:Station=B01-2068-1,No,No,,,,,,,,,,
629,"FULA0754DSIH
",54,7/16/2021 18:12,OCENVRESUSER,,,1900,A07,Verified,Outfall,Fullerton,North,{64070E0F-4949-4306-BFCC-5ACA29AE544A},,,,,,-117.92735,33.91567,,A07-1900-3,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={64070E0F-4949-4306-BFCC-5ACA29AE544A}&field:Station=A07-1900-3,No,No,,,,,,,,,,
630,"LHA0760DSEUC
",60,7/16/2021 18:12,OCENVRESUSER,,,1910,A07,Verified,Outfall,La Habra,North,{F4260CBD-1C02-43E0-ACCD-FD98FC118FAE},,,,,,-117.9493094,33.91707863,,A07-1910-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={F4260CBD-1C02-43E0-ACCD-FD98FC118FAE}&field:Station=A07-1910-1,No,No,,,,,,,,,,
631,"LHA07XXX
",36,7/16/2021 18:12,OCENVRESUSER,,,1910,A07,Verified,Outfall,La Habra,North,{6B5F556F-FE34-4509-8F74-03DD0D89493C},,,,,,-117.95181,33.91718,,A07-1910-2,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={6B5F556F-FE34-4509-8F74-03DD0D89493C}&field:Station=A07-1910-2,No,No,,,,,,,,,,
632,"LHA01P08@WLN
",,7/16/2021 18:12,OCENVRESUSER,,,1074,A01,Verified,Box,La Habra,North,{28F58CFB-4160-4025-B840-BF541E8E73A1},,,,,,-117.9506071,33.92707358,Unknown,A01-1074-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={28F58CFB-4160-4025-B840-BF541E8E73A1}&field:Station=A01-1074-1,No,No,Difficult accessibility,1,0.0225,,1.5,0.02,8,0.0225,0.0225,0.0225
634,"LHA01P10
",,7/16/2021 18:12,OCENVRESUSER,8.5,10,1121,A01,Verified,Box,La Habra,North,{6F4A9427-A79A-4F0A-AB4B-B86CDA0467B1},,,,,,-117.9438022,33.92730623,Unknown,A01-1121-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={6F4A9427-A79A-4F0A-AB4B-B86CDA0467B1}&field:Station=A01-1121-1,No,No,Difficult accessibility,,,,,,,,,
638,"GGHKWC02S01
",,7/16/2021 18:12,OCENVRESUSER,,,2195,C02,Verified,,Garden Grove,North,{786BADB9-799B-4560-8B0B-DC810A2A08B4},,,,,,-118.005,33.799167,,C02-2195-4,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={786BADB9-799B-4560-8B0B-DC810A2A08B4}&field:Station=C02-2195-4,No,No,,,,,,,,,,
639,,18,7/16/2021 18:12,OCENVRESUSER,,,8400,F20,Verified,Outfall,Lake Forest,Central,{4FBE7908-C202-40F8-984F-C052555C83DC},,,,,,-117.6766773,33.68182767,,F20-8400-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={4FBE7908-C202-40F8-984F-C052555C83DC}&field:Station=F20-8400-1,No,No,,,,,,,,,,
640,,18,7/16/2021 18:12,OCENVRESUSER,,,8400,F20,Verified,Outfall,Lake Forest,Central,{B166EAB4-65DC-487A-B1C1-A80166FAF8B2},,,,,,-117.6773579,33.68174122,,F20-8400-2,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={B166EAB4-65DC-487A-B1C1-A80166FAF8B2}&field:Station=F20-8400-2,No,No,,,,,,,,,,
641,,18,7/16/2021 18:12,OCENVRESUSER,,,8400,F20,Verified,Outfall,Lake Forest,Central,{FFEBFFB5-345E-47A1-BF42-24183DF81ED1},,,,,,-117.6793038,33.68120448,,F20-8400-3,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={FFEBFFB5-345E-47A1-BF42-24183DF81ED1}&field:Station=F20-8400-3,No,No,,,,,,,,,,
642,,30,7/16/2021 18:12,OCENVRESUSER,,,8400,F20,Verified,Outfall,Lake Forest,Central,{6C9B3FF1-DD02-4676-9277-7A3C775B3A0A},,,,,,-117.6789635,33.68137517,,F20-8400-4,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={6C9B3FF1-DD02-4676-9277-7A3C775B3A0A}&field:Station=F20-8400-4,No,No,,,,,,,,,,
643,,42,7/16/2021 18:12,OCENVRESUSER,,,8400,F20,Verified,Outfall,Lake Forest,Central,{B4DF197D-E6D5-412C-A292-7AF4DE976645},,,,,,-117.6802231,33.68062984,,F20-8400-5,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={B4DF197D-E6D5-412C-A292-7AF4DE976645}&field:Station=F20-8400-5,No,No,,,,,,,,,,
644,,42,7/16/2021 18:12,OCENVRESUSER,,,8400,F20,Verified,Outfall,Lake Forest,Central,{49BCE059-AB39-49B4-9316-E1CA2F071EA5},,,,,,-117.680032,33.68051887,,F20-8400-6,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={49BCE059-AB39-49B4-9316-E1CA2F071EA5}&field:Station=F20-8400-6,No,No,,,,,,,,,,
645,,45,7/16/2021 18:12,OCENVRESUSER,,,7808,F20,Verified,Outfall,Lake Forest,Central,{AC1D1362-2663-4644-B472-B25269DEA362},,,,,,-117.6660782,33.68201595,,F20-7808-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={AC1D1362-2663-4644-B472-B25269DEA362}&field:Station=F20-7808-1,No,No,,,,,,,,,,
646,,63,7/16/2021 18:12,OCENVRESUSER,,,7778,F05,Verified,Outfall,Lake Forest,Central,{8C66BF7F-187A-4E2D-9FC0-A5699A212D08},,,,,,-117.689373,33.6415914,,F05-7778-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={8C66BF7F-187A-4E2D-9FC0-A5699A212D08}&field:Station=F05-7778-1,No,No,,,,,,,,,,
647,,33,7/16/2021 18:12,OCENVRESUSER,,,7773,F05,Verified,Outfall,Lake Forest,Central,{89F9017F-7B05-417F-AA69-228E7EAB54F1},,,,,,-117.7037559,33.63942714,,F05-7773-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={89F9017F-7B05-417F-AA69-228E7EAB54F1}&field:Station=F05-7773-1,No,No,,,,,,,,,,
648,,90,7/16/2021 18:12,OCENVRESUSER,,,7780,F05,Verified,Outfall,Lake Forest,Central,{D2B9699C-DE7A-4678-9ECC-0044B3F311B3},,,,,,-117.708253,33.63680583,,F05-7780-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={D2B9699C-DE7A-4678-9ECC-0044B3F311B3}&field:Station=F05-7780-1,No,No,,,,,,,,,,
649,,84,7/16/2021 18:12,OCENVRESUSER,,,7044,F23,Verified,Outfall,Laguna Woods,Central,{26D18C4A-802F-444F-BF13-2EFC30AD3FD2},,,,,,-117.7469123,33.61856815,,F23-7044-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={26D18C4A-802F-444F-BF13-2EFC30AD3FD2}&field:Station=F23-7044-1,No,No,,,,,,,,,,
650,,24,7/16/2021 18:12,OCENVRESUSER,,,8398,F20,Verified,Outfall,Orange Co,Central,{D1A0E5B9-E043-4FFA-B91D-8465B00903FB},,,,,,-117.7045328,33.66327187,,F20-8398-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={D1A0E5B9-E043-4FFA-B91D-8465B00903FB}&field:Station=F20-8398-1,No,No,,,,,,,,,,
651,,54,7/16/2021 18:12,OCENVRESUSER,,,8881,F19,Verified,Outfall,Irvine,Central,{16E44C20-716F-43BF-8697-B2E197F00B07},,,,,,-117.7246262,33.64375662,,F19-8881-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={16E44C20-716F-43BF-8697-B2E197F00B07}&field:Station=F19-8881-1,No,No,,,,,,,,,,
652,,18,7/16/2021 18:12,OCENVRESUSER,,,8581,F19,Verified,Outfall,Irvine,Central,{8B6C619B-584C-4121-B423-1515F66F2172},,,,,,-117.7226391,33.64956191,,F19-8581-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={8B6C619B-584C-4121-B423-1515F66F2172}&field:Station=F19-8581-1,No,No,,,,,,,,,,
653,,36,7/16/2021 18:12,OCENVRESUSER,,,7260,F20,Un-Verified,Outfall,Irvine,Central,{DB980960-DD04-4EBD-B268-EC626AC9FFE6},,,,,,-117.7321018,33.65453128,,F20-7260-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={DB980960-DD04-4EBD-B268-EC626AC9FFE6}&field:Station=F20-7260-1,No,No,,,,,,,,,,
654,,,7/16/2021 18:12,OCENVRESUSER,,,8716,F18,Un-Verified,Outfall,Irvine,Central,{FEFE2218-CED4-4C66-B7FD-F21CD50B13A2},,,,,,-117.7320726,33.65885164,,F18-8716-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={FEFE2218-CED4-4C66-B7FD-F21CD50B13A2}&field:Station=F18-8716-1,No,No,,,,,,,,,,
655,,,7/16/2021 18:12,OCENVRESUSER,,,5657,E01,Verified,Outfall,Yorba Linda,North,{7D797B81-60D6-4808-96EE-B0B36DCD4935},,,,,,-117.7039625,33.87434975,,E01-5657-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={7D797B81-60D6-4808-96EE-B0B36DCD4935}&field:Station=E01-5657-1,No,No,,,,,,,,,,
656,,42,7/16/2021 18:12,OCENVRESUSER,,,5657,E01,Verified,Outfall,Yorba Linda,North,{DC370DE6-2E61-467C-A612-78ABE8BE06ED},,,,,,-117.705846,33.87381255,,E01-5657-2,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={DC370DE6-2E61-467C-A612-78ABE8BE06ED}&field:Station=E01-5657-2,No,No,,,,,,,,,,
657,,48,7/16/2021 18:12,OCENVRESUSER,,,5657,E01,Verified,Outfall,Yorba Linda,North,{FF10DF3F-1FF9-4EAD-AE05-07F7A07A8A71},,,,,,-117.7075259,33.87365149,,E01-5657-3,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={FF10DF3F-1FF9-4EAD-AE05-07F7A07A8A71}&field:Station=E01-5657-3,No,No,,,,,,,,,,
658,,42,7/16/2021 18:12,OCENVRESUSER,,,6166,E01,Verified,Outfall,Yorba Linda,North,{43ADC137-ACB1-4022-81C3-A2003A93968E},,,,,,-117.7136791,33.87357609,,E01-6166-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={43ADC137-ACB1-4022-81C3-A2003A93968E}&field:Station=E01-6166-1,No,No,,,,,,,,,,
659,,36,7/16/2021 18:12,OCENVRESUSER,,,5676,E01,Verified,Outfall,Yorba Linda,North,{55567152-5CC4-4985-9D20-D175181D6CB4},,,,,,-117.7166617,33.87299266,,E01-5676-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={55567152-5CC4-4985-9D20-D175181D6CB4}&field:Station=E01-5676-1,No,No,,,,,,,,,,
660,,60,7/16/2021 18:12,OCENVRESUSER,,,5677,E01,Verified,Outfall,Yorba Linda,North,{9F78A769-C2BA-4E11-9D28-813367FCDD77},,,,,,-117.7191496,33.87225427,,E01-5677-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={9F78A769-C2BA-4E11-9D28-813367FCDD77}&field:Station=E01-5677-1,No,No,,,,,,,,,,
661,,,7/16/2021 18:12,OCENVRESUSER,,,5236,E01,Verified,Outfall,Yorba Linda,North,{6FE3F58F-D08E-4647-A171-E2118EFFF942},,,,,,-117.7259024,33.87111795,,E01-5236-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={6FE3F58F-D08E-4647-A171-E2118EFFF942}&field:Station=E01-5236-1,No,No,,,,,,,,,,
662,,,7/16/2021 18:12,OCENVRESUSER,,,5236,E01,Verified,Outfall,Yorba Linda,North,{0BA831B3-5AFF-4AAF-A455-F4DC8B4DE358},,,,,,-117.7288286,33.87277069,,E01-5236-2,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={0BA831B3-5AFF-4AAF-A455-F4DC8B4DE358}&field:Station=E01-5236-2,No,No,,,,,,,,,,
663,,,7/16/2021 18:12,OCENVRESUSER,,,5235,E01,Verified,Outfall,Yorba Linda,North,{7BB2EB10-78FA-43CE-8A2B-F31FE5970A69},,,,,,-117.7301297,33.87465398,,E01-5235-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={7BB2EB10-78FA-43CE-8A2B-F31FE5970A69}&field:Station=E01-5235-1,No,No,,,,,,,,,,
664,,,7/16/2021 18:12,OCENVRESUSER,,,5235,E01,Verified,Outfall,Yorba Linda,North,{BE932F55-8F13-4001-ABE2-1DDE7681F90B},,,,,,-117.7314137,33.87664226,,E01-5235-2,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={BE932F55-8F13-4001-ABE2-1DDE7681F90B}&field:Station=E01-5235-2,No,No,,,,,,,,,,
665,,,7/16/2021 18:12,OCENVRESUSER,,,5235,E01,Verified,Outfall,Yorba Linda,North,{CADF2A65-76E1-4228-BD85-CE6AAD438C60},,,,,,-117.7327408,33.87795927,,E01-5235-3,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={CADF2A65-76E1-4228-BD85-CE6AAD438C60}&field:Station=E01-5235-3,No,No,,,,,,,,,,
