,Facility Identifier,GlobalID,Longitude,Latitude
155,L01-517-2,{E56548DF-493B-422E-A5B8-8731DDBDFE40},-117.6257208,33.51860298
156,L01-517-3,{6F4B7E90-A083-4289-A5D6-7E68F3E03AB8},-117.6202815,33.52266244
157,L01-517-6,{E5E98A69-01CF-4012-9B40-92C07976275C},-117.618989,33.52411358
158,L01-517-7,{91F7E163-76E3-4E60-AF6E-ABEF81E97F26},-117.6195437,33.52425393
159,L01-517-8,{01A02819-9301-488A-B748-0623EE010001},-117.6245,33.518737
160,L01-556-1,{4FE0C734-3649-4717-871F-7A7EB924A050},-117.6451428,33.50553072
161,L01-601-1,{6E297702-950B-4ECB-93F7-6D8CE2CE5D00},-117.677888,33.48172393
162,L01-602-2,{99C5D60F-3F09-4BFF-AE19-4319471F81EF},-117.6536768,33.49828674
163,L01-613-1,{66BF25E7-7C2E-440C-B88E-6770670FC382},-117.6793327,33.46916647
164,L01-618-1,{6BB44A0A-D350-479C-9FC0-20CB027EB52D},-117.6521706,33.5000465
165,L01-618-2,{DBB6D67B-D85C-4FC2-AE21-A7AD70D991C8},-117.6503658,33.50048772
166,L01-618-3,{A981599B-D002-446E-B808-453E58ACEA12},-117.6500212,33.50155524
167,L01-618-4,{6CAF875E-8955-448F-B3BC-D7F75183DDDE},-117.6485177,33.5025008
168,L01-618-5 (L01S09),{DB6B9824-56ED-459B-A97E-F9966647E89B},-117.64812,33.501988
169,L01-724-1 (L01S01),{8A859AA8-432F-48A4-B9EF-89E317C329D5},-117.6770626,33.48318609
170,L01-724-2,{9AFBCAFD-4410-42DD-A83A-9F170C6B1FBA},-117.6772035,33.48347973
171,L01-724-4 (L01P03),{1A565B60-44E0-4E2C-84FE-2362549F11C4},-117.675358,33.4847041
172,L01-726-2,{2E54A407-3CB1-4115-BE98-54634E27A6A6},-117.6795156,33.47487148
173,L01-726-3,{B22F4F14-A3E0-4A9A-9F0F-891910B4EB75},-117.6788187,33.47522955
174,L01-726-5,{2B22BC20-4B7A-42C3-8427-8487ACC1F123},-117.6793196,33.47582393
175,L01-726-6,{D64CBB08-F94D-40E2-BF24-D05C3319C2F7},-117.6792461,33.47619715
176,L01-726-7,{18A42986-EA31-4E07-A4F6-D18E1CBDE933},-117.678454,33.47686584
177,L01-726-8,{88ED161A-736E-448B-AF46-40F0E8C2F54E},-117.6786837,33.47849535
178,L01-726-9,{8940546C-B67E-42D6-9426-7F1E9452BFE1},-117.6781053,33.47841897
179,L01-727-1 (L01S04),{798A1AA2-7443-4216-9DB2-0FB1B57E4222},-117.6810116,33.47115503
180,L01-727-2,{B9983359-9D26-40FE-905C-4936B6ED0548},-117.6797341,33.47419329
