FACILITYID,EMC_Group,RC,EMC_Group_Area,Area_Rainfall,Trib_LU_Volume,"Copper, Total - Dissolved - mg/L","Copper, Total - Total - mg/L",Fecal coliforms - Total - CFU/100 mL,"Lead, Total - Total - mg/L",TN - Total - mg/L,TP - Total - mg/L,TSS - Total - mg/L,"Zinc, Total - Dissolved - mg/L","Zinc, Total - Total - mg/L",RC_Group,RC_M,LSPC_LU_DESC,RC_WMA
M02-032-1,business,0.486,13.282983995886203,6.7,3.6043377072837215,0.09833229940197434,0.2881091217808628,859311167942.6154,0.03836856325054188,50.8423422898522,4.894271795037758,761.4158877890986,0.4253468577076248,1.568804249457874,Commercial,0.22899761824469292,COMM,0.486
M02-032-1,developed open space,0.217,60.71958158652747,6.7,7.356683305721025,0.008819535966759221,0.1805826100531046,1769075579187.0361,0.03791338249645225,109.52864560810853,12.931615895757963,1562.894932072458,0.20995202592553408,0.35904155973513335,Developed Open Space,0.22899761824469292,OSDEV,0.217
M02-032-1,open space,0.078,41.85421669756851,6.7,1.8227511371791087,0.00224955224087337,0.03355318811503967,24590157236.67402,0.0070631419251797455,11.999984654328445,0.9217970724694241,512.7795664134825,0.05139811396126001,0.05883619567611522,Open Space,0.22899761824469292,OSLOW,0.078
M02-032-1,surface street,0.471,15.018938427628324,6.7,3.9496053330055583,0.1390781074753491,0.31357759055881623,819278630444.1234,0.041523004740965,59.12812732615434,7.444890821976399,819.239222330495,0.3310471129246115,1.204686936521076,Streets and Roads,0.22899761824469292,TRANS,0.471
M02-052-2,business,0.414,175.68407303986862,6.7,40.609373483165626,1.1078909348043806,3.2460695640873047,9681692169609.46,0.43229115626569353,572.8308040157319,55.1428105227673,8578.725045868647,4.792300502151632,17.67541303343173,Light Industrial,0.2629809188637435,IND,0.414
M02-052-2,business,0.422,28.35625546928874,6.7,6.681206392822249,0.18227437069998928,0.5340555360233844,1592868297851.1545,0.07112216193141149,94.24427174139882,9.072301948603698,1411.4040110094793,0.7884472476428077,2.908025227320795,Education,0.2629809188637435,EDU,0.422
M02-052-2,business,0.486,128.8480894445266,6.7,34.9629290707723,0.9538465839118296,2.7947266897635017,8335521766949.457,0.3721841471084274,493.18275689867335,47.47559510785783,7385.914373209933,4.125965218646184,15.217772626821233,Commercial,0.2629809188637435,COMM,0.486
M02-052-2,business,0.486,128.8480894445266,6.7,34.9629290707723,0.9538465839118296,2.7947266897635017,8335521766949.457,0.3721841471084274,493.18275689867335,47.47559510785783,7385.914373209933,4.125965218646184,15.217772626821233,Commercial,0.2629809188637435,UTIL,0.486
M02-052-2,developed open space,0.217,1181.1519913799757,6.7,143.10640668894555,0.17156265240958699,3.5127961013510065,34413068875989.8,0.7375127770243306,2130.613790360402,251.55318050519176,30402.32513302845,4.084106758259152,6.984281547872543,Developed Open Space,0.2629809188637435,OSDEV,0.217
M02-052-2,developed open space,0.217,1181.1519913799757,6.7,143.10640668894555,0.17156265240958699,3.5127961013510065,34413068875989.8,0.7375127770243306,2130.613790360402,251.55318050519176,30402.32513302845,4.084106758259152,6.984281547872543,Developed Open Space,0.2629809188637435,OSIRR,0.217
M02-052-2,developed open space,0.217,1181.1519913799757,6.7,143.10640668894555,0.17156265240958699,3.5127961013510065,34413068875989.8,0.7375127770243306,2130.613790360402,251.55318050519176,30402.32513302845,4.084106758259152,6.984281547872543,Developed Open Space,0.2629809188637435,OSVAC,0.217
M02-052-2,multi-family,0.485,68.70733914703476,6.7,18.605374879857454,0.6039674072523165,1.1710008909664447,4925614175379.8545,0.11524533148403743,321.2451278624961,29.394167657480118,2464.1422855821015,1.4370694642979542,4.60710011600876,Multi-family Residential,0.2629809188637435,RESMF,0.485
M02-052-2,open space,0.078,790.9809702614718,6.7,34.4472212548871,0.04251311228680232,0.6341041688194247,464716531920.5823,0.13348262836794927,226.78143933714813,17.420561183466305,9690.753070420169,0.9713460974422911,1.1119145169688731,Open Space,0.2629809188637435,OSFOR,0.078
M02-052-2,open space,0.078,790.9809702614718,6.7,34.4472212548871,0.04251311228680232,0.6341041688194247,464716531920.5823,0.13348262836794927,226.78143933714813,17.420561183466305,9690.753070420169,0.9713460974422911,1.1119145169688731,Open Space,0.2629809188637435,OSLOW,0.078
M02-052-2,open space,0.078,790.9809702614718,6.7,34.4472212548871,0.04251311228680232,0.6341041688194247,464716531920.5823,0.13348262836794927,226.78143933714813,17.420561183466305,9690.753070420169,0.9713460974422911,1.1119145169688731,Open Space,0.2629809188637435,OSWET,0.078
M02-052-2,single family,0.405,406.2576532197664,6.7,91.86501183431967,2.6167862551025327,6.469330882636841,22293747779483.746,0.6272643459786332,1457.0016612659372,159.2108110248239,23291.55476565793,3.7366830707431093,20.049879425563272,Single Family Residential,0.2629809188637435,RESSFH,0.405
M02-052-2,surface street,0.471,326.4111435816114,6.7,85.83797048337425,3.0226266874285095,6.815076873048521,17805630934827.117,0.902432054552562,1285.0495227322724,161.80207001656248,17804.774466342493,7.1947473005372,26.181826532047864,Streets and Roads,0.2629809188637435,TRANS,0.471
M02-052-3,business,0.414,81.04553465756688,6.7,18.733675336096585,0.5110856755530498,1.4974575600681181,4466300813152.894,0.19942199244970973,264.2549092611453,25.438154318771957,3957.486560918388,2.210755646292795,8.153916714252839,Light Industrial,0.34492143442859363,IND,0.414
M02-052-3,business,0.422,4.307045128865975,6.7,1.0148116164463048,0.027685740851459167,0.08111794935211596,241941523295.10434,0.01080277899995893,14.314807255384576,1.3779962575684528,214.37882646614324,0.1197576274133109,0.441701334773084,Education,0.34492143442859363,EDU,0.422
M02-052-3,business,0.486,13.382581803792812,6.7,3.6313635724591795,0.09906960974352758,0.290269407223965,865754412070.8364,0.038656256497290015,51.22356580427298,4.930969779634884,767.1250984116925,0.42853617229542856,1.5805673792131283,Commercial,0.34492143442859363,COMM,0.486
M02-052-3,business,0.486,13.382581803792812,6.7,3.6313635724591795,0.09906960974352758,0.290269407223965,865754412070.8364,0.038656256497290015,51.22356580427298,4.930969779634884,767.1250984116925,0.42853617229542856,1.5805673792131283,Commercial,0.34492143442859363,UTIL,0.48599999999999993
M02-052-3,developed open space,0.217,22.629404155567414,6.7,2.7417408918149553,0.0032869271928685456,0.06730080740980676,659311629249.6084,0.014129828187208687,40.81991218180181,4.8194462946463545,582.4707639026796,0.0782464095405304,0.13381015401618634,Developed Open Space,0.34492143442859363,OSDEV,0.217
M02-052-3,developed open space,0.217,22.629404155567414,6.7,2.7417408918149553,0.0032869271928685456,0.06730080740980676,659311629249.6084,0.014129828187208687,40.81991218180181,4.8194462946463545,582.4707639026796,0.0782464095405304,0.13381015401618634,Developed Open Space,0.34492143442859363,OSIRR,0.217
M02-052-3,developed open space,0.217,22.629404155567414,6.7,2.7417408918149553,0.0032869271928685456,0.06730080740980676,659311629249.6084,0.014129828187208687,40.81991218180181,4.8194462946463545,582.4707639026796,0.0782464095405304,0.13381015401618634,Developed Open Space,0.34492143442859363,OSVAC,0.217
M02-052-3,multi-family,0.485,10.277536205788122,6.7,2.7830711583923753,0.09034401524221382,0.17516329701202213,736794331605.1765,0.017238887163721083,48.05321343436609,4.3969046988162415,368.59689038585793,0.2149629665900427,0.689149643019092,Multi-family Residential,0.34492143442859363,RESMF,0.485
M02-052-3,open space,0.078,31.225264072914577,6.7,1.35986025037543,0.0016782744561832507,0.025032296433853907,18345443157.08683,0.005269444495685054,8.95256725050827,0.6877050696583575,382.55828530141423,0.03834547168537354,0.043894639345600325,Open Space,0.34492143442859363,OSLOW,0.078
M02-052-3,single family,0.405,0.00319250208834444,6.7,7.219045347268867e-4,2.0563540201534834e-5,5.0838063453876156e-5,175191373.69831878,4.9292431012924565e-6,0.011449583311102797,0.0012511292837326714,0.18303245893543196,2.9364046221119345e-5,1.5755834119028634e-4,Single Family Residential,0.34492143442859363,RESSFH,0.405
M02-052-3,surface street,0.471,15.63420548438352,6.7,4.111405187255756,0.14477559257110187,0.3264236357128861,852841265649.3188,0.04322403954030933,61.550375013413436,7.749878826686165,852.8002431396933,0.34460881595694726,1.2540382398316523,Streets and Roads,0.34492143442859363,TRANS,0.471
M02-052-4,business,0.486,10.013995693359917,6.7,2.7172977313932134,0.0741323804225402,0.2172044704431476,647831717458.8539,0.028925927131307948,38.32986600665874,3.689774578725684,574.0288043362311,0.32066752490159506,1.1827160977278404,Commercial,0.26722522689415795,COMM,0.486
