FacilityID,QInscfsAdj,QInsCFAdj,Q_DailyavgCF,AVGDISCHARGE,JURISDICTI,SAMPLEDRY,PERSISTENTFLOW,JURISDICTI3,PERCENTAGE,area_acres,AREA
DP06-12106-1,NA,NA,5365.44,0.227,DANA POINT,NA,Yes,DANA POINT,100,66.54528569,66.54534452
I00-11453-1,NA,NA,0,0.013896,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,100,342.08954194,342.0898444
I00-11468-1,NA,NA,729.193104,0.039855,LAGUNA BEACH,1,Yes,LAGUNA BEACH,91.76756832,223.33679991,204.9509316
I00-11468-1,NA,NA,729.193104,0.039855,LAGUNA BEACH,1,Yes,ORANGE CO,8.232432026,223.33679991,18.3860665
I00-11518-1,NA,NA,0,0.079534,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,96.690419790000007,645.16066542,623.8091072
I00-11518-1,NA,NA,0,0.079534,LAGUNA BEACH,NA,Unknown,ORANGE CO,3.309580209,645.16066542,21.35212857
I01-11010-1,NA,NA,638.099856,0.03819,LAGUNA BEACH,1,Yes,LAGUNA BEACH,100,12.1490758,12.14908654
I01-11015-2,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,9.814813201,245.37795985,24.08340969
I01-11015-2,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,ORANGE CO,90.18518695,245.37795985,221.2947674
I01-11015-3,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,100,NA,NA
I01-11023-2,NA,NA,0,2.04e-4,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,100,16.81555601,16.81557088
I01-11023-3,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,2.021964214,36.18156164,0.731578875
I01-11023-3,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,ORANGE CO,97.97803498,36.18156164,35.45001446
I01-11023-4,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,99.99999471,6.44034236,6.44034771
I01-11023-5,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,8.451122386,12.44670623,1.051887306
I01-11023-5,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,ORANGE CO,91.54887409,12.44670623,11.39482948
I01-11059-1,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,99.99999976,282.44365092,282.4438999
I01-11059-2,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,100,9.28778099,9.287789205
I01-11059-3,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,100,NA,NA
I01-11065-1,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,100,NA,NA
I01-11077-1,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,92.37171423,118.05411389,109.0487051
I01-11077-1,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,ORANGE CO,7.628285715,118.05411389,9.005513067
I01-11077-2,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,100,NA,NA
I01-11093-1,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,15.10734659,87.63278849,13.23900078
I01-11093-1,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,ORANGE CO,84.89265355,87.63278849,74.3938653
I01-11093-2,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,1.070402039,296.78090067,3.176751622
I01-11093-2,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,ORANGE CO,98.92959796,296.78090067,293.6044114
I01-11217-1,NA,NA,0,0.001777,ALISO VIEJO,NA,Unknown,ALISO VIEJO,100,35.66443538,35.66446691
I01-11343-2 (I02P18),NA,NA,113.09155199999998,0.007519,LAGUNA WOODS,1,Yes,LAGUNA WOODS,98.79491313,46.81104081,46.24696799
J01-10004-1 (J01P01),NA,NA,6825.454632,0.31136,LAKE FOREST,1,Yes,LAKE FOREST,97.22901103,479.88775953,466.5905351
J01-10017-1 (J01TBN4),NA,NA,192.646134,0.015398,ALISO VIEJO,NA,Yes,ALISO VIEJO,100,17.42256719,17.42258259
J01-10019-1 (J01P33),NA,NA,899.0705700000001,0.007265,ALISO VIEJO,NA,Yes,ALISO VIEJO,100,72.93906351,72.93912799
J01-9005-1 (J03P05),NA,NA,3320.135892,0.033498,LAGUNA NIGUEL,NA,Yes,LAGUNA NIGUEL,100,127.79044152,127.7905545
J01-9007-1 (J02P05),NA,NA,2773.4399999999996,0.11084,ALISO VIEJO,1,Yes,ALISO VIEJO,98.19424307,145.61257767,142.9832949
J01-9007-1 (J02P05),NA,NA,2773.4399999999996,0.11084,ALISO VIEJO,1,Yes,ORANGE CO,1.805757306,145.61257767,2.629412085
J01-9008-1 (J01P30),NA,NA,3073.243356,0.0542,ALISO VIEJO,NA,Yes,ALISO VIEJO,100,211.57209037,211.5722774
J01-9040-1,NA,NA,40215.314159999994,0.449715,LAKE FOREST,NA,Yes,LAKE FOREST,99.97855453,146.1265793,146.0953709
J01-9040-1,NA,NA,40215.314159999994,0.449715,LAKE FOREST,NA,Yes,ORANGE CO,0.021445596,146.1265793,0.031337744
J01-9046-1,NA,NA,208.6128,0.00512,LAKE FOREST,NA,Unknown,LAKE FOREST,100,65.72077069,65.72082879
J01-9046-2,NA,NA,319.613364,0.107098,LAKE FOREST,NA,Unknown,LAKE FOREST,99.38641043,46.36377902,46.07933644
J01-9046-2,NA,NA,319.613364,0.107098,LAKE FOREST,NA,Unknown,MISSION VIEJO,0.613590663,46.36377902,0.284484071
J01-9066-1 (J01P04),NA,NA,136.975968,0.014702,MISSION VIEJO,NA,Yes,LAKE FOREST,2.845060742,82.12170635,2.336414493
J01-9066-1 (J01P04),NA,NA,136.975968,0.014702,MISSION VIEJO,NA,Yes,MISSION VIEJO,97.15493782,82.12170635,79.78536327
J01-9082-2,NA,NA,3159.7872119999997,0.143136,ALISO VIEJO,1,Yes,ALISO VIEJO,97.84740395,124.66076066,121.9774259
J01-9082-2,NA,NA,3159.7872119999997,0.143136,ALISO VIEJO,1,Yes,ORANGE CO,2.152595119,124.66076066,2.683443822
J01-9082-3,NA,NA,43.199999999999996,0.005369,ALISO VIEJO,NA,Unknown,ALISO VIEJO,97.84740395,124.66076066,121.9774259
J01-9082-3,NA,NA,43.199999999999996,0.005369,ALISO VIEJO,NA,Unknown,ORANGE CO,2.152595119,124.66076066,2.683443822
J01-9082-4,NA,NA,988.2863999999998,0.020881,ALISO VIEJO,NA,Yes,ALISO VIEJO,97.84740395,124.66076066,121.9774259
J01-9082-4,NA,NA,988.2863999999998,0.020881,ALISO VIEJO,NA,Yes,ORANGE CO,2.152595119,124.66076066,2.683443822
J01-9131-1 (J01P28),NA,NA,1098.5759999999998,0.068157,ALISO VIEJO,1,Unknown,ALISO VIEJO,100,286.38606854,286.3863217
J01-9144-1 (J01P23),NA,NA,225.57582,0.018688,LAGUNA NIGUEL,NA,Yes,ALISO VIEJO,100,175.4581519,175.458307
J01-9224-1 (J01P24),NA,NA,528.1543439999999,0.024552,LAGUNA NIGUEL,1,Yes,ALISO VIEJO,1.638278647,222.46726525,3.644636926
J01-9224-1 (J01P24),NA,NA,528.1543439999999,0.024552,LAGUNA NIGUEL,1,Yes,LAGUNA NIGUEL,98.36172091,222.46726525,218.822824
J01-9259-3,NA,NA,798.6159360000001,0.00601,LAKE FOREST,NA,Yes,LAKE FOREST,99.99231896,140.75505759,140.7443706
J01-9275-2,NA,NA,0,0,LAKE FOREST,NA,Unknown,LAKE FOREST,95.02628824,42.7322098,40.60686876
J01-9275-2,NA,NA,0,0,LAKE FOREST,NA,Unknown,MISSION VIEJO,4.973711762,42.7322098,2.1253788240000002
J01-9349-1,NA,NA,0,0.00615,LAKE FOREST,1,Unknown,LAKE FOREST,99.85177608,69.7067491,69.60348856
J01-9349-1,NA,NA,0,0.00615,LAKE FOREST,1,Unknown,MISSION VIEJO,0.14822366,69.7067491,0.103321986
J01-9364-4,NA,NA,0,0,ORANGE CO,NA,Unknown,ALISO VIEJO,98.79141639,42.33257611,41.82098851
J01-9364-4,NA,NA,0,0,ORANGE CO,NA,Unknown,ORANGE CO,1.208582942,42.33257611,0.511624746
J01-9377-1,NA,NA,317.304,0.001959,LAKE FOREST,1,Unknown,LAKE FOREST,98.07444602,34.4468196,33.78355736
J01-9377-1,NA,NA,317.304,0.001959,LAKE FOREST,1,Unknown,MISSION VIEJO,1.925552671,34.4468196,0.663292241
J01-9377-2 (J01TBN8),NA,NA,0,4.2e-5,LAKE FOREST,NA,Unknown,LAKE FOREST,67.39420978,98.41839547,66.32835854
J01-9377-2 (J01TBN8),NA,NA,0,4.2e-5,LAKE FOREST,NA,Unknown,MISSION VIEJO,32.60579025,98.41839547,32.09012396
J01-9782-1 (J01TBN3),NA,NA,288.24336,0.00112,LAKE FOREST,NA,Unknown,LAKE FOREST,45.38061266,30.80686795,13.98035778
J01-9782-1 (J01TBN3),NA,NA,288.24336,0.00112,LAKE FOREST,NA,Unknown,MISSION VIEJO,54.6193895,30.80686795,16.82653807
J01-9785-1,NA,NA,273.220128,0.005998,LAKE FOREST,NA,Yes,LAKE FOREST,100,21.25657462,21.25659341
J01-9992-1 (J01P27),NA,NA,1341.9455759999998,0.171031,ALISO VIEJO,1,Yes,ALISO VIEJO,99.70754793,553.84107572999994,552.2218442
J01-9992-1 (J01P27),NA,NA,1341.9455759999998,0.171031,ALISO VIEJO,1,Yes,ORANGE CO,0.292452005,553.84107572999994,1.619720764
J03-9215-3,NA,NA,3398.951808,0.037748,LAGUNA NIGUEL,NA,Yes,LAGUNA NIGUEL,100,155.28755892,155.2876962
J03-9216-2,NA,NA,99407.89151999999,1.41452,LAGUNA NIGUEL,NA,Yes,LAGUNA NIGUEL,99.85072453,1123.28596907,1121.61017
J03-9216-2,NA,NA,99407.89151999999,1.41452,LAGUNA NIGUEL,NA,Yes,SAN JUAN CAPISTRANO,0.149275428,1123.28596907,1.676791419
J03-9221-1 (J03P02),NA,NA,9503.068607999998,0.215297,LAGUNA NIGUEL,1,Yes,LAGUNA NIGUEL,100,565.70937288,565.709873
J03-9234-6,NA,NA,3895.115039999999,1.290672,LAGUNA NIGUEL,NA,Yes,LAGUNA NIGUEL,99.27752823,232.09078171,230.414195
J03-9234-6,NA,NA,3895.115039999999,1.290672,LAGUNA NIGUEL,NA,Yes,SAN JUAN CAPISTRANO,0.722471579,232.09078171,1.676791419
J03-9234-8,NA,NA,44609.22201600001,0.301604,LAGUNA NIGUEL,NA,Yes,LAGUNA NIGUEL,100,NA,NA
J03-9368-1 (J03TBN1),NA,NA,4479.146315999999,0.004992,LAGUNA NIGUEL,NA,Yes,LAGUNA NIGUEL,98.70823565,92.34354303,91.15076265
J03-9368-1 (J03TBN1),NA,NA,4479.146315999999,0.004992,LAGUNA NIGUEL,NA,Yes,SAN JUAN CAPISTRANO,1.291764465,92.34354303,1.192862129
J05-9800-2,NA,NA,0,0,LAGUNA HILLS,NA,Unknown,LAGUNA HILLS,100.0000004,25.47292658,25.47294919
J06-10011-1 (J06P01),NA,NA,10588.7736,0.600261,ALISO VIEJO,1,Yes,ALISO VIEJO,14.86516439,935.90125176,139.1233826
J06-10011-1 (J06P01),NA,NA,10588.7736,0.600261,ALISO VIEJO,1,Yes,LAGUNA HILLS,20.85002958,935.90125176,195.1358603
J06-10011-1 (J06P01),NA,NA,10588.7736,0.600261,ALISO VIEJO,1,Yes,LAGUNA WOODS,38.1624725,935.90125176,357.1633736
J06-10011-1 (J06P01),NA,NA,10588.7736,0.600261,ALISO VIEJO,1,Yes,LAKE FOREST,22.96186189,935.90125176,214.9005429
J06-9079-1 (J06P03),NA,NA,2480.310288,0.099511,ALISO VIEJO,1,Yes,ALISO VIEJO,98.05519597,365.7871229,358.6735973
J07-9022-6,NA,NA,36.186912,0.001776,MISSION VIEJO,NA,Yes,MISSION VIEJO,100,NA,NA
J07-9109-4 (J07P02),NA,NA,620.5849559999999,0.215661,MISSION VIEJO,NA,Yes,LAKE FOREST,1.275132081,394.92574829,5.035829366
J07-9109-4 (J07P02),NA,NA,620.5849559999999,0.215661,MISSION VIEJO,NA,Yes,MISSION VIEJO,98.72486798,394.92574829,389.8902683
J07-9110-1,NA,NA,59.616,0.004715,MISSION VIEJO,NA,Yes,LAKE FOREST,0.19588078,102.11849185,0.200030675
J07-9110-1,NA,NA,59.616,0.004715,MISSION VIEJO,NA,Yes,MISSION VIEJO,99.80411911,102.11849185,101.9185513
J07-9110-2,NA,NA,79.9011,0.003966,MISSION VIEJO,NA,Yes,MISSION VIEJO,100,133.39088631,133.3910042
J07-9110-3,NA,NA,29.808,0.010104,MISSION VIEJO,NA,Unknown,MISSION VIEJO,100,61.67998508,61.68003961
K01-12032-2 (K01P11),NA,NA,1438.1763839999999,0.061363,LAGUNA NIGUEL,NA,Yes,LAGUNA NIGUEL,100,126.84724993,126.8473621
K01-12036-1,NA,NA,547.364304,0.021221,LAGUNA NIGUEL,NA,Yes,LAGUNA NIGUEL,100,137.80531846,137.8054403
K01-12036-10,NA,NA,29.808,0.005224,LAGUNA NIGUEL,NA,Unknown,LAGUNA NIGUEL,100,185.37165068,185.3718146
K01-12058-1 (K01P08),NA,NA,953.856,0.205335,LAGUNA NIGUEL,NA,Yes,LAGUNA NIGUEL,97.77433651,329.52135056,322.187599
K01-12058-1 (K01P08),NA,NA,953.856,0.205335,LAGUNA NIGUEL,NA,Yes,SAN JUAN CAPISTRANO,2.225663378,329.52135056,7.334042507
K01-12058-2 (K01P09),NA,NA,2682.72,0.130128,LAGUNA NIGUEL,NA,Yes,LAGUNA NIGUEL,97.02723437,303.05249515,294.0437147
K01-12058-2 (K01P09),NA,NA,2682.72,0.130128,LAGUNA NIGUEL,NA,Yes,SAN JUAN CAPISTRANO,2.9727657,303.05249515,9.009048593
K01-12062-1,NA,NA,7321.262112,0.122807,LAGUNA NIGUEL,NA,Yes,LAGUNA NIGUEL,96.51947141,258.84115572,249.8323362
K01-12062-1,NA,NA,7321.262112,0.122807,LAGUNA NIGUEL,NA,Yes,SAN JUAN CAPISTRANO,3.480528667,258.84115572,9.009048593
K01-12126-1 (K01S01),NA,NA,27708.32448,0.477926,DANA POINT,1,Yes,DANA POINT,27.17243026,885.25252888,240.5448387
K01-12126-1 (K01S01),NA,NA,27708.32448,0.477926,DANA POINT,1,Yes,LAGUNA NIGUEL,72.82756974,885.25252888,644.7084728
K01-12138-1 (K01TBN1),NA,NA,268.272,0.0344,LAGUNA NIGUEL,NA,Yes,LAGUNA NIGUEL,100,90.83218137,90.83226167
K01-12155-1,NA,NA,0,4.4e-4,LAGUNA NIGUEL,NA,Unknown,LAGUNA NIGUEL,100,63.75808645,63.75814281
