JURISDICTI3,QJur_US,Sample Type,Parameter,ResultJuris,Units,LoadQUns,LoadsPoundsQUns
ALISO VIEJO,112756296.95986444,Total,Enterococcus,24558.6875,CFU/100 mL,2769146660694.5107,784133721615543.25
ALISO VIEJO,112756296.95986444,Total,Fecal coliforms,6673.166666666667,CFU/100 mL,752441562329.3354,213067372321673.28
ALISO VIEJO,112756296.95986444,Total,Total Coliforms,176626.25,CFU/100 mL,19915721895907.258,5639495137820266
ALISO VIEJO,112756296.95986444,NA,NA,NA,NA,NA,NA
LAGUNA BEACH,1879478.3242043818,Total,d10-Acenaphthene,67.5,ng/L,126864786.88379577,0.007919903343160964
LAGUNA BEACH,1879478.3242043818,Total,d10-Phenanthrene,78.5,ng/L,147539048.45004398,0.009210554258342751
LAGUNA BEACH,1879478.3242043818,Total,d12-Chrysene,93.5,ng/L,175731223.3131097,0.010970532779045188
LAGUNA BEACH,1879478.3242043818,Total,d8-Naphthalene,56.75,ng/L,106660394.89859867,0.006658585403324218
LAGUNA BEACH,1879478.3242043818,Total,PCB030,80.75,ng/L,151767874.67950383,0.009474551036448115
LAGUNA BEACH,1879478.3242043818,Total,PCB112,87.75,ng/L,164924222.9489345,0.010295874346109252
LAGUNA BEACH,1879478.3242043818,Total,PCB198,91.5,ng/L,171972266.66470093,0.010735868976284863
LAGUNA BEACH,1879478.3242043818,Total,TCMX,66.25,ng/L,124515438.97854029,0.00777323846643576
LAGUNA BEACH,1879478.3242043818,Total,"2,4'-DDD",1,ng/L,1879478.3242043818,1.1733190138016244e-4
LAGUNA BEACH,1879478.3242043818,Total,"2,4'-DDE",1,ng/L,1879478.3242043818,1.1733190138016244e-4
LAGUNA BEACH,1879478.3242043818,Total,"2,4'-DDT",1,ng/L,1879478.3242043818,1.1733190138016244e-4
LAGUNA BEACH,1879478.3242043818,Total,"4,4'-DDD",1,ng/L,1879478.3242043818,1.1733190138016244e-4
LAGUNA BEACH,1879478.3242043818,Total,"4,4'-DDE",1,ng/L,1879478.3242043818,1.1733190138016244e-4
LAGUNA BEACH,1879478.3242043818,Total,"4,4'-DDT",1,ng/L,1879478.3242043818,1.1733190138016244e-4
LAGUNA BEACH,1879478.3242043818,Total,Acenaphthene,2.5,ng/L,4698695.810510955,2.9332975345040607e-4
LAGUNA BEACH,1879478.3242043818,Total,Acenaphthylene,2.5,ng/L,4698695.810510955,2.9332975345040607e-4
LAGUNA BEACH,1879478.3242043818,Total,Aldrin,2.5,ng/L,4698695.810510955,2.9332975345040607e-4
LAGUNA BEACH,1879478.3242043818,Total,Anthracene,2.5,ng/L,4698695.810510955,2.9332975345040607e-4
LAGUNA BEACH,1879478.3242043818,Total,Benz[a]anthracene,2.5,ng/L,4698695.810510955,2.9332975345040607e-4
LAGUNA BEACH,1879478.3242043818,Total,Benzo[a]pyrene,2.5,ng/L,4698695.810510955,2.9332975345040607e-4
LAGUNA BEACH,1879478.3242043818,Total,Benzo[b]fluoranthene,2.5,ng/L,4698695.810510955,2.9332975345040607e-4
LAGUNA BEACH,1879478.3242043818,Total,"Benzo[g,h,i]perylene",2.5,ng/L,4698695.810510955,2.9332975345040607e-4
LAGUNA BEACH,1879478.3242043818,Total,Benzo[k]fluoranthene,2.5,ng/L,4698695.810510955,2.9332975345040607e-4
LAGUNA BEACH,1879478.3242043818,Total,BHC-alpha,2.5,ng/L,4698695.810510955,2.9332975345040607e-4
LAGUNA BEACH,1879478.3242043818,Total,BHC-beta,2.5,ng/L,4698695.810510955,2.9332975345040607e-4
LAGUNA BEACH,1879478.3242043818,Total,BHC-delta,2.5,ng/L,4698695.810510955,2.9332975345040607e-4
LAGUNA BEACH,1879478.3242043818,Total,BHC-gamma,2.5,ng/L,4698695.810510955,2.9332975345040607e-4
LAGUNA BEACH,1879478.3242043818,Total,Bolstar (Sulprofos),2,ng/L,3758956.6484087636,2.3466380276032487e-4
