FACILITYID,AVGDISCHARGE,JURISDICTI,SAMPLEDRY,PERSISTENTFLOW,PRIORITY
L01-517-2,0,SAN JUAN CAPISTRANO,NA,Unknown,1
L01-514-1,0.019417,ORANGE CO,NA,Yes,1
L01-517-3,0.001664,ORANGE CO,NA,Yes,1
L01-458-1,6.75e-4,ORANGE CO,NA,Unknown,1
SM01-086-1 (M03P01),NA,SAN CLEMENTE,NA,Yes,1
SM01-086-2,0.02,SAN CLEMENTE,NA,Unknown,1
M02-028-2 (M02P08),0.040333,SAN CLEMENTE,NA,Yes,1
M02-015-1,0.020964,SAN CLEMENTE,NA,Yes,1
M02-052-2,0.670727,SAN CLEMENTE,NA,Yes,1
M02-052-3,0.110413,SAN CLEMENTE,NA,Yes,2
M02-085-1 (M02P06),0.06651,SAN CLEMENTE,1,Yes,2
L01-223-1 (L08TBN1),0.049092,RANCHO SANTA MARGARITA,NA,Yes,2
L01-731-1 (L08TBN2),0.356639,RANCHO SANTA MARGARITA,1,Yes,1
L01-125-1,NA,RANCHO SANTA MARGARITA,NA,Yes,1
L01-125-2,0.021,RANCHO SANTA MARGARITA,NA,Yes,1
L01-125-3,0.034201,RANCHO SANTA MARGARITA,NA,Yes,2
L01-733-4,0,ORANGE CO,NA,Unknown,1
L02-359-1 (L02P43),0.010162,ORANGE CO,NA,Yes,1
L02-344-1,0,ORANGE CO,NA,Unknown,1
L02-622-1 (L02P28),0.014251,RANCHO SANTA MARGARITA,NA,Unknown,1
L02-166-1 (L02PXX),0.041916,RANCHO SANTA MARGARITA,NA,Yes,1
L02-622-2 (L02P32),0.103107,RANCHO SANTA MARGARITA,NA,Yes,1
L02-198-1 (L02P29),0.00835,RANCHO SANTA MARGARITA,NA,Yes,2
L02-641-1,0.055023,RANCHO SANTA MARGARITA,1,Yes,2
L02-166-3 (L02P26),0.176934,RANCHO SANTA MARGARITA,1,Yes,2
L01-261-1,0.008102,ORANGE CO,NA,Yes,2
L03-455-2,0.006273,SAN JUAN CAPISTRANO,NA,Yes,1
L03-455-3 (L03P37),0,SAN JUAN CAPISTRANO,NA,Unknown,1
L03-455-4,0,SAN JUAN CAPISTRANO,NA,Unknown,1
L03-455-6,0,LAGUNA NIGUEL,NA,Unknown,1
L03-455-7,0.054716,LAGUNA NIGUEL,NA,Yes,2
L03-418-1,0.066361,LAGUNA NIGUEL,NA,Yes,2
L03-418-2,0.007904,LAGUNA NIGUEL,NA,Yes,1
L03-418-3,7.22e-4,LAGUNA NIGUEL,NA,Unknown,1
L03-418-8,0.134285,LAGUNA NIGUEL,1,Yes,2
L03-708-1,0.018177,LAGUNA NIGUEL,NA,Yes,2
L03-708-5,0.006287,LAGUNA NIGUEL,NA,Unknown,2
L04-702-1 (L04P02),0.022439,MISSION VIEJO,NA,Yes,2
L04-702-4,0,MISSION VIEJO,NA,Unknown,1
L04-301-1 (L04P08),0.034968,MISSION VIEJO,NA,Yes,2
L04-266-1,NA,MISSION VIEJO,NA,Unknown,1
L04-266-5,0.466571,MISSION VIEJO,1,Yes,2
J07-9022-1,0.001114,MISSION VIEJO,NA,Yes,2
J07-9110-1,0.004715,MISSION VIEJO,NA,Yes,1
J07-9110-2,0.003966,MISSION VIEJO,NA,Yes,2
J07-9109-1,0.008731,MISSION VIEJO,NA,Yes,2
J07-9110-3,0.010104,MISSION VIEJO,NA,Unknown,2
J07-9109-2,0.068072,MISSION VIEJO,NA,Yes,2
J07-9109-4 (J07P02),0.215661,MISSION VIEJO,NA,Yes,2
L03-691-1 (L03P09),0.336027,MISSION VIEJO,NA,Yes,2
L03-316-1,0.041047,MISSION VIEJO,NA,Yes,2
L03-316-3 (L03P12),0.249529,MISSION VIEJO,1,Yes,2
L03-693-1 (L03P11),0.090433,MISSION VIEJO,NA,Yes,2
L03-662-3 (L03P16),0.148374,MISSION VIEJO,1,Yes,2
L03-214-2 (L03P18),0.566083,MISSION VIEJO,1,Yes,2
L03-074-1 (L03B01),0.204911,MISSION VIEJO,NA,Yes,2
L03-172-2,0.013291,MISSION VIEJO,NA,Yes,1
L03-141-1,0.072246,MISSION VIEJO,NA,Yes,2
L03-142-1 (L03P24),0.018174,RANCHO SANTA MARGARITA,NA,Yes,1
L03-241-4,0.009684,MISSION VIEJO,NA,Yes,2
L03-240-1 (L03P14),0.019278,MISSION VIEJO,NA,Yes,2
L05-049-1,1.074799,ORANGE CO,1,Yes,2
L01-414-1,NA,ORANGE CO,NA,Yes,1
L01-404-1,0.08469,ORANGE CO,1,Yes,2
L01-414-3,0.232035,ORANGE CO,NA,Yes,2
L01-414-2,0,ORANGE CO,NA,Unknown,1
