FACILITYID,AVGDISCHARGE
L01-728-8d,0
SC11-035-1d,0
SC11-035-2d,0
I01-11195-2,0.21825
M01-050-7,4e-6
J03-9216-5,NA
L01-399-1,0
L01-399-2,0.001
LC01-11480-1,NA
SC11-035-3d,0
L01-242-1 (L07P16),NA
I01-11503-5,NA
L01-733-7,0.0588
L03-240-1,NA
L03-241-4 (L03P14),NA
L03-316-4 (L03P12),NA
