FacilityID,QInscfsAdj,QInsCFAdj,Q_DailyavgCF,AVGDISCHARGE,JURISDICTI,SAMPLEDRY,PERSISTENTFLOW
J01-9066-1 (J01P04),NA,NA,136.975968,0.014702,MISSION VIEJO,NA,Yes
J01-9082-2,NA,NA,3159.7872119999997,0.143136,ALISO VIEJO,1,Yes
J01-9082-3,NA,NA,43.199999999999996,0.005369,ALISO VIEJO,NA,Unknown
J01-9082-4,NA,NA,988.2863999999998,0.020881,ALISO VIEJO,NA,Yes
J01-9131-1 (J01P28),NA,NA,1098.5759999999998,0.068157,ALISO VIEJO,1,Unknown
J01-9144-1 (J01P23),NA,NA,225.57582,0.018688,LAGUNA NIGUEL,NA,Yes
J01-9224-1 (J01P24),NA,NA,528.1543439999999,0.024552,LAGUNA NIGUEL,1,Yes
J01-9259-3,NA,NA,798.6159360000001,0.00601,LAKE FOREST,NA,Yes
J01-9275-2,NA,NA,0,0,LAKE FOREST,NA,Unknown
J01-9349-1,NA,NA,0,0.00615,LAKE FOREST,1,Unknown
J01-9364-4,NA,NA,0,0,ORANGE CO,NA,Unknown
J01-9377-1,NA,NA,317.304,0.001959,LAKE FOREST,1,Unknown
J01-9377-2 (J01TBN8),NA,NA,0,4.2e-5,LAKE FOREST,NA,Unknown
J01-9782-1 (J01TBN3),NA,NA,288.24336,0.00112,LAKE FOREST,NA,Unknown
J01-9785-1,NA,NA,273.220128,0.005998,LAKE FOREST,NA,Yes
J01-9992-1 (J01P27),NA,NA,1341.9455759999998,0.171031,ALISO VIEJO,1,Yes
J03-9215-3,NA,NA,3398.951808,0.037748,LAGUNA NIGUEL,NA,Yes
J03-9216-2,NA,NA,99407.89151999999,1.41452,LAGUNA NIGUEL,NA,Yes
J03-9221-1 (J03P02),NA,NA,9503.068607999998,0.215297,LAGUNA NIGUEL,1,Yes
J03-9234-6,NA,NA,3895.115039999999,1.290672,LAGUNA NIGUEL,NA,Yes
J03-9234-8,NA,NA,44609.22201600001,0.301604,LAGUNA NIGUEL,NA,Yes
J03-9368-1 (J03TBN1),NA,NA,4479.146315999999,0.004992,LAGUNA NIGUEL,NA,Yes
J05-9800-2,NA,NA,0,0,LAGUNA HILLS,NA,Unknown
J06-10011-1 (J06P01),NA,NA,10588.7736,0.600261,ALISO VIEJO,1,Yes
J06-9079-1 (J06P03),NA,NA,2480.310288,0.099511,ALISO VIEJO,1,Yes
J07-9022-6,NA,NA,36.186912,0.001776,MISSION VIEJO,NA,Yes
J07-9109-4 (J07P02),NA,NA,620.5849559999999,0.215661,MISSION VIEJO,NA,Yes
