Station,date,Sample Type,Field Specific Conductivity,Date,Parameter,Units,Qualifier,Result,ResultAvg
L03-662-3 (L03P16),8/23/2022,Total,3390,2022-08-23,d12-Chrysene,ng/L,NA,81,86.5
L03-214-2 (L03P18),8/23/2022,Total,4320,2022-08-23,d12-Chrysene,ng/L,NA,65,73.5
L03-316-3 (L03P12),8/23/2022,Total,4049,2022-08-23,d12-Chrysene,ng/L,NA,80,83
J01-10004-1 (J01P01),8/18/2022,Total,2077,2022-08-18,d12-Chrysene,ng/L,NA,42,67.5
L03-418-8,8/18/2022,Total,2858.53,2022-08-18,d12-Chrysene,ng/L,NA,82,81.5
K01-12177-1 (K01P07),8/18/2022,Total,2005,2022-08-18,d12-Chrysene,ng/L,NA,60,69
J03-9221-1 (J03P02),8/18/2022,Total,4941,2022-08-18,d12-Chrysene,ng/L,NA,82,81.5
J01-9224-1 (J01P24),8/18/2022,Total,3289,2022-08-18,d12-Chrysene,ng/L,NA,61,76
J01-9224-2 (J01P25),8/18/2022,Total,2370,2022-08-18,d12-Chrysene,ng/L,NA,86,72.5
J06-9079-1 (J06P03),8/22/2022,Total,2291,2022-08-22,d12-Chrysene,ng/L,NA,86,80
J06-10011-1 (J06P01),8/22/2022,Total,3121,2022-08-22,d12-Chrysene,ng/L,NA,77,100.5
J01-9082-2,8/22/2022,Total,1319,2022-08-22,d12-Chrysene,ng/L,NA,70,97
L04-672-1,8/23/2022,Total,5222,2022-08-23,d12-Chrysene,ng/L,NA,73,106
L04-266-5,8/23/2022,Total,4848,2022-08-23,d12-Chrysene,ng/L,NA,72,83.5
I01-11343-2 (I02P18),8/23/2022,Total,4543,2022-08-23,d12-Chrysene,ng/L,NA,95,92.5
L01-340-1,8/24/2022,Total,1798.6,2022-08-24,d12-Chrysene,ng/L,NA,78,84.5
L01-404-1,8/24/2022,Total,2033.4,2022-08-24,d12-Chrysene,ng/L,NA,81,78.5
L02-246-1 (L11P01),8/25/2022,Total,2323,2022-08-25,d12-Chrysene,ng/L,NA,67,87
L02-641-1,8/25/2022,Total,1807,2022-08-25,d12-Chrysene,ng/L,NA,77,103
L02-641-2,8/25/2022,Total,2148,2022-08-25,d12-Chrysene,ng/L,NA,62,95
L01-731-1 (L08TBN2),8/25/2022,Total,2692,2022-08-25,d12-Chrysene,ng/L,NA,104,116
L02-166-3 (L02P26),8/25/2022,Total,2626,2022-08-25,d12-Chrysene,ng/L,NA,107,115.5
L05-489-3,9/6/2022,Total,3524,2022-09-06,d12-Chrysene,ng/L,NA,69,77
L05-049-1,9/6/2022,Total,2843,2022-09-06,d12-Chrysene,ng/L,NA,94,86
L02-374-1 (L02P50),9/6/2022,Total,3644,2022-09-06,d12-Chrysene,ng/L,NA,95,90.5
L05-503-1,9/6/2022,Total,4029.2,2022-09-06,d12-Chrysene,ng/L,NA,94,84
L01-749-2,9/6/2022,Total,8458,2022-09-06,d12-Chrysene,ng/L,NA,90,77.5
L01-724-4 (L01P03),9/6/2022,Total,5109,2022-09-06,d12-Chrysene,ng/L,NA,92,89
L01-724-1 (L01S01),9/6/2022,Total,6362,2022-09-06,d12-Chrysene,ng/L,NA,87,107
L01-726-5,9/7/2022,Total,1165,2022-09-07,d12-Chrysene,ng/L,NA,93,93
L01-728-5 (L01-DP),9/7/2022,Total,1327,2022-09-07,d12-Chrysene,ng/L,NA,102,121
K01-12126-1 (K01S01),9/7/2022,Total,5061,2022-09-07,d12-Chrysene,ng/L,NA,92,70.5
K01-12159-2,9/7/2022,Total,4869,2022-09-07,d12-Chrysene,ng/L,NA,103,88.5
K01-12159-3,9/7/2022,Total,3633,2022-09-07,d12-Chrysene,ng/L,NA,92,103
I01-11010-1,9/7/2022,Total,6067.7,2022-09-07,d12-Chrysene,ng/L,NA,101,98
J01-9131-1 (J01P28),9/8/2022,Total,2648,2022-09-08,d12-Chrysene,ng/L,NA,94,101.5
J01-9992-1 (J01P27),8/9/2022,Total,3208,2022-08-09,d12-Chrysene,ng/L,NA,81,92
J01-9007-1 (J02P05),9/8/2022,Total,1929,2022-09-08,d12-Chrysene,ng/L,NA,80,90.5
M01-042-1 (M01S01),9/8/2022,Total,26921,2022-09-08,d12-Chrysene,ng/L,NA,49,72
