JURISDICTI3,Sample Type,Parameter,ResultJuris,Units
LAGUNA HILLS,Total,"Calcium, Total",268,ug/L
LAKE FOREST,Total,"Calcium, Total",249.75,ug/L
LAGUNA BEACH,Total,"Calcium, Total",303.5,ug/L
SAN JUAN CAPISTRANO,Total,"Calcium, Total",203.025,ug/L
DANA POINT,Total,"Calcium, Total",172.4,ug/L
SAN CLEMENTE,Total,"Calcium, Total",309.75,ug/L
MISSION VIEJO,Total,Chromium 6+,0.039285714285714285,ug/L
LAGUNA WOODS,Total,Chromium 6+,0.11425,ug/L
MISSION VIEJO,Dissolved,Chromium 6+,0.039285714285714285,ug/L
LAGUNA WOODS,Dissolved,Chromium 6+,0.11425,ug/L
LAGUNA NIGUEL,Total,Chromium 6+,0.1279047619047619,ug/L
ALISO VIEJO,Total,Chromium 6+,0.41447222222222224,ug/L
LAGUNA NIGUEL,Dissolved,Chromium 6+,0.1279047619047619,ug/L
ALISO VIEJO,Dissolved,Chromium 6+,0.41447222222222224,ug/L
RANCHO SANTA MARGARITA,Total,Chromium 6+,0.04877777777777778,ug/L
RANCHO SANTA MARGARITA,Dissolved,Chromium 6+,0.04877777777777778,ug/L
ORANGE CO,Total,Chromium 6+,0.23298387096774192,ug/L
ORANGE CO,Dissolved,Chromium 6+,0.23298387096774192,ug/L
LAGUNA HILLS,Total,Chromium 6+,0.2185,ug/L
LAKE FOREST,Total,Chromium 6+,0.23175,ug/L
LAGUNA HILLS,Dissolved,Chromium 6+,0.2185,ug/L
LAKE FOREST,Dissolved,Chromium 6+,0.23175,ug/L
LAGUNA BEACH,Total,Chromium 6+,0.0494,ug/L
LAGUNA BEACH,Dissolved,Chromium 6+,0.0494,ug/L
SAN JUAN CAPISTRANO,Total,Chromium 6+,0.22375,ug/L
DANA POINT,Total,Chromium 6+,0.17867857142857144,ug/L
SAN JUAN CAPISTRANO,Dissolved,Chromium 6+,0.22375,ug/L
DANA POINT,Dissolved,Chromium 6+,0.17867857142857144,ug/L
SAN CLEMENTE,Total,Chromium 6+,0.0572,ug/L
SAN CLEMENTE,Dissolved,Chromium 6+,0.0572,ug/L
MISSION VIEJO,Total,"Chromium, Total",0.2986111111111111,ug/L
LAGUNA WOODS,Total,"Chromium, Total",0.29400000000000004,ug/L
MISSION VIEJO,Dissolved,"Chromium, Total",0.2986111111111111,ug/L
LAGUNA WOODS,Dissolved,"Chromium, Total",0.29400000000000004,ug/L
LAGUNA NIGUEL,Total,"Chromium, Total",0.3652173913043478,ug/L
ALISO VIEJO,Total,"Chromium, Total",0.6869444444444445,ug/L
LAGUNA NIGUEL,Dissolved,"Chromium, Total",0.3652173913043478,ug/L
ALISO VIEJO,Dissolved,"Chromium, Total",0.6869444444444445,ug/L
RANCHO SANTA MARGARITA,Total,"Chromium, Total",0.3034375,ug/L
RANCHO SANTA MARGARITA,Dissolved,"Chromium, Total",0.3034375,ug/L
ORANGE CO,Total,"Chromium, Total",0.43328125,ug/L
ORANGE CO,Dissolved,"Chromium, Total",0.43328125,ug/L
LAGUNA HILLS,Total,"Chromium, Total",0.405,ug/L
LAKE FOREST,Total,"Chromium, Total",0.342,ug/L
LAGUNA HILLS,Dissolved,"Chromium, Total",0.405,ug/L
LAKE FOREST,Dissolved,"Chromium, Total",0.342,ug/L
LAGUNA BEACH,Total,"Chromium, Total",0.134,ug/L
LAGUNA BEACH,Dissolved,"Chromium, Total",0.134,ug/L
SAN JUAN CAPISTRANO,Total,"Chromium, Total",0.4408333333333333,ug/L
DANA POINT,Total,"Chromium, Total",0.4671875,ug/L
SAN JUAN CAPISTRANO,Dissolved,"Chromium, Total",0.4408333333333333,ug/L
DANA POINT,Dissolved,"Chromium, Total",0.4671875,ug/L
SAN CLEMENTE,Total,"Chromium, Total",0.586875,ug/L
SAN CLEMENTE,Dissolved,"Chromium, Total",0.586875,ug/L
MISSION VIEJO,Total,"Copper, Total",5.2124999999999995,ug/L
LAGUNA WOODS,Total,"Copper, Total",5.5875,ug/L
MISSION VIEJO,Dissolved,"Copper, Total",5.2124999999999995,ug/L
LAGUNA WOODS,Dissolved,"Copper, Total",5.5875,ug/L
LAGUNA NIGUEL,Total,"Copper, Total",5.121875,ug/L
ALISO VIEJO,Total,"Copper, Total",4.28125,ug/L
LAGUNA NIGUEL,Dissolved,"Copper, Total",5.121875,ug/L
ALISO VIEJO,Dissolved,"Copper, Total",4.28125,ug/L
RANCHO SANTA MARGARITA,Total,"Copper, Total",4.767857142857143,ug/L
RANCHO SANTA MARGARITA,Dissolved,"Copper, Total",4.767857142857143,ug/L
ORANGE CO,Total,"Copper, Total",3.782142857142857,ug/L
ORANGE CO,Dissolved,"Copper, Total",3.782142857142857,ug/L
LAGUNA HILLS,Total,"Copper, Total",4.075,ug/L
LAKE FOREST,Total,"Copper, Total",3.575,ug/L
LAGUNA HILLS,Dissolved,"Copper, Total",4.075,ug/L
LAKE FOREST,Dissolved,"Copper, Total",3.575,ug/L
LAGUNA BEACH,Total,"Copper, Total",1.8375,ug/L
LAGUNA BEACH,Dissolved,"Copper, Total",1.8375,ug/L
SAN JUAN CAPISTRANO,Total,"Copper, Total",5.9312499999999995,ug/L
DANA POINT,Total,"Copper, Total",6.512499999999999,ug/L
SAN JUAN CAPISTRANO,Dissolved,"Copper, Total",5.9312499999999995,ug/L
DANA POINT,Dissolved,"Copper, Total",6.512499999999999,ug/L
SAN CLEMENTE,Total,"Copper, Total",4.3125,ug/L
SAN CLEMENTE,Dissolved,"Copper, Total",4.3125,ug/L
MISSION VIEJO,Total,Dissolved Organic Carbon,9.55,ug/L
LAGUNA WOODS,Total,Dissolved Organic Carbon,21.5,ug/L
LAGUNA NIGUEL,Total,Dissolved Organic Carbon,8.3,ug/L
ALISO VIEJO,Total,Dissolved Organic Carbon,8.09375,ug/L
RANCHO SANTA MARGARITA,Total,Dissolved Organic Carbon,10.021428571428572,ug/L
ORANGE CO,Total,Dissolved Organic Carbon,9.282142857142857,ug/L
LAGUNA HILLS,Total,Dissolved Organic Carbon,3.5,ug/L
LAKE FOREST,Total,Dissolved Organic Carbon,4.775,ug/L
LAGUNA BEACH,Total,Dissolved Organic Carbon,5.825,ug/L
SAN JUAN CAPISTRANO,Total,Dissolved Organic Carbon,10,ug/L
DANA POINT,Total,Dissolved Organic Carbon,9.608333333333334,ug/L
SAN CLEMENTE,Total,Dissolved Organic Carbon,14.5,ug/L
MISSION VIEJO,Total,"Hardness as CaCO3, Total",1157.9166666666667,ug/L
LAGUNA WOODS,Total,"Hardness as CaCO3, Total",869.25,ug/L
LAGUNA NIGUEL,Total,"Hardness as CaCO3, Total",1087.375,ug/L
ALISO VIEJO,Total,"Hardness as CaCO3, Total",728.6875,ug/L
RANCHO SANTA MARGARITA,Total,"Hardness as CaCO3, Total",595.5714285714286,ug/L
ORANGE CO,Total,"Hardness as CaCO3, Total",934.9642857142857,ug/L
LAGUNA HILLS,Total,"Hardness as CaCO3, Total",1040,ug/L
LAKE FOREST,Total,"Hardness as CaCO3, Total",885,ug/L
LAGUNA BEACH,Total,"Hardness as CaCO3, Total",2275,ug/L
SAN JUAN CAPISTRANO,Total,"Hardness as CaCO3, Total",939.125,ug/L
DANA POINT,Total,"Hardness as CaCO3, Total",831.3333333333334,ug/L
SAN CLEMENTE,Total,"Hardness as CaCO3, Total",2768.25,ug/L
MISSION VIEJO,Total,"Iron, Total",98.06666666666666,ug/L
LAGUNA WOODS,Total,"Iron, Total",592,ug/L
MISSION VIEJO,Dissolved,"Iron, Total",98.06666666666666,ug/L
LAGUNA WOODS,Dissolved,"Iron, Total",592,ug/L
LAGUNA NIGUEL,Total,"Iron, Total",67.77272727272727,ug/L
ALISO VIEJO,Total,"Iron, Total",82.42105263157895,ug/L
LAGUNA NIGUEL,Dissolved,"Iron, Total",67.77272727272727,ug/L
ALISO VIEJO,Dissolved,"Iron, Total",82.42105263157895,ug/L
RANCHO SANTA MARGARITA,Total,"Iron, Total",99.9375,ug/L
RANCHO SANTA MARGARITA,Dissolved,"Iron, Total",99.9375,ug/L
ORANGE CO,Total,"Iron, Total",74.7741935483871,ug/L
ORANGE CO,Dissolved,"Iron, Total",74.7741935483871,ug/L
LAGUNA HILLS,Total,"Iron, Total",15,ug/L
LAKE FOREST,Total,"Iron, Total",56.4,ug/L
LAGUNA HILLS,Dissolved,"Iron, Total",15,ug/L
LAKE FOREST,Dissolved,"Iron, Total",56.4,ug/L
LAGUNA BEACH,Total,"Iron, Total",40,ug/L
LAGUNA BEACH,Dissolved,"Iron, Total",40,ug/L
SAN JUAN CAPISTRANO,Total,"Iron, Total",159.7,ug/L
DANA POINT,Total,"Iron, Total",150.53333333333333,ug/L
SAN JUAN CAPISTRANO,Dissolved,"Iron, Total",159.7,ug/L
DANA POINT,Dissolved,"Iron, Total",150.53333333333333,ug/L
SAN CLEMENTE,Total,"Iron, Total",81.38888888888889,ug/L
SAN CLEMENTE,Dissolved,"Iron, Total",81.38888888888889,ug/L
MISSION VIEJO,Total,"Lead, Total",0.13714285714285715,ug/L
LAGUNA WOODS,Total,"Lead, Total",0.174,ug/L
MISSION VIEJO,Dissolved,"Lead, Total",0.13714285714285715,ug/L
LAGUNA WOODS,Dissolved,"Lead, Total",0.174,ug/L
LAGUNA NIGUEL,Total,"Lead, Total",0.11705882352941177,ug/L
ALISO VIEJO,Total,"Lead, Total",0.16972222222222222,ug/L
LAGUNA NIGUEL,Dissolved,"Lead, Total",0.11705882352941177,ug/L
ALISO VIEJO,Dissolved,"Lead, Total",0.16972222222222222,ug/L
RANCHO SANTA MARGARITA,Total,"Lead, Total",0.1,ug/L
RANCHO SANTA MARGARITA,Dissolved,"Lead, Total",0.1,ug/L
ORANGE CO,Total,"Lead, Total",0.1,ug/L
ORANGE CO,Dissolved,"Lead, Total",0.1,ug/L
LAGUNA HILLS,Total,"Lead, Total",0.1,ug/L
LAKE FOREST,Total,"Lead, Total",0.174,ug/L
LAGUNA HILLS,Dissolved,"Lead, Total",0.1,ug/L
LAKE FOREST,Dissolved,"Lead, Total",0.174,ug/L
LAGUNA BEACH,Total,"Lead, Total",0.1,ug/L
LAGUNA BEACH,Dissolved,"Lead, Total",0.1,ug/L
SAN JUAN CAPISTRANO,Total,"Lead, Total",0.14500000000000002,ug/L
DANA POINT,Total,"Lead, Total",0.13,ug/L
SAN JUAN CAPISTRANO,Dissolved,"Lead, Total",0.14500000000000002,ug/L
DANA POINT,Dissolved,"Lead, Total",0.13,ug/L
SAN CLEMENTE,Total,"Lead, Total",0.1,ug/L
SAN CLEMENTE,Dissolved,"Lead, Total",0.1,ug/L
MISSION VIEJO,Total,"Magnesium, Total",91.65833333333333,ug/L
LAGUNA WOODS,Total,"Magnesium, Total",87.30000000000001,ug/L
LAGUNA NIGUEL,Total,"Magnesium, Total",123.09375,ug/L
ALISO VIEJO,Total,"Magnesium, Total",62.05625,ug/L
RANCHO SANTA MARGARITA,Total,"Magnesium, Total",46.18571428571429,ug/L
ORANGE CO,Total,"Magnesium, Total",105.48928571428571,ug/L
LAGUNA HILLS,Total,"Magnesium, Total",89.95,ug/L
LAKE FOREST,Total,"Magnesium, Total",63.4,ug/L
LAGUNA BEACH,Total,"Magnesium, Total",368.25,ug/L
SAN JUAN CAPISTRANO,Total,"Magnesium, Total",104.9,ug/L
DANA POINT,Total,"Magnesium, Total",97.30833333333334,ug/L
SAN CLEMENTE,Total,"Magnesium, Total",485.275,ug/L
MISSION VIEJO,Total,"Manganese, Total",314.5,ug/L
LAGUNA WOODS,Total,"Manganese, Total",586.25,ug/L
MISSION VIEJO,Dissolved,"Manganese, Total",314.5,ug/L
LAGUNA WOODS,Dissolved,"Manganese, Total",586.25,ug/L
LAGUNA NIGUEL,Total,"Manganese, Total",157.95,ug/L
ALISO VIEJO,Total,"Manganese, Total",93.003125,ug/L
LAGUNA NIGUEL,Dissolved,"Manganese, Total",157.95,ug/L
ALISO VIEJO,Dissolved,"Manganese, Total",93.003125,ug/L
RANCHO SANTA MARGARITA,Total,"Manganese, Total",120.92857142857143,ug/L
RANCHO SANTA MARGARITA,Dissolved,"Manganese, Total",120.92857142857143,ug/L
ORANGE CO,Total,"Manganese, Total",303.35535714285714,ug/L
ORANGE CO,Dissolved,"Manganese, Total",303.35535714285714,ug/L
LAGUNA HILLS,Total,"Manganese, Total",312.5,ug/L
LAKE FOREST,Total,"Manganese, Total",181.625,ug/L
LAGUNA HILLS,Dissolved,"Manganese, Total",312.5,ug/L
LAKE FOREST,Dissolved,"Manganese, Total",181.625,ug/L
LAGUNA BEACH,Total,"Manganese, Total",64.875,ug/L
LAGUNA BEACH,Dissolved,"Manganese, Total",64.875,ug/L
SAN JUAN CAPISTRANO,Total,"Manganese, Total",30.15,ug/L
DANA POINT,Total,"Manganese, Total",132.475,ug/L
SAN JUAN CAPISTRANO,Dissolved,"Manganese, Total",30.15,ug/L
DANA POINT,Dissolved,"Manganese, Total",132.475,ug/L
SAN CLEMENTE,Total,"Manganese, Total",5206.34375,ug/L
SAN CLEMENTE,Dissolved,"Manganese, Total",5206.34375,ug/L
MISSION VIEJO,Total,MBAS,0.04535714285714286,mg/L
LAGUNA WOODS,Total,MBAS,0.096,mg/L
LAGUNA NIGUEL,Total,MBAS,0.0471,mg/L
ALISO VIEJO,Total,MBAS,0.2685,mg/L
RANCHO SANTA MARGARITA,Total,MBAS,0.0672,mg/L
ORANGE CO,Total,MBAS,0.05539473684210527,mg/L
LAGUNA HILLS,Total,MBAS,0.052,mg/L
LAKE FOREST,Total,MBAS,0.0385,mg/L
LAGUNA BEACH,Total,MBAS,0.025,mg/L
SAN JUAN CAPISTRANO,Total,MBAS,0.05408333333333334,mg/L
DANA POINT,Total,MBAS,0.06892857142857142,mg/L
SAN CLEMENTE,Total,MBAS,0.055400000000000005,mg/L
MISSION VIEJO,Total,"Mercury, Total",0.025,ug/L
LAGUNA WOODS,Total,"Mercury, Total",0.0326,ug/L
MISSION VIEJO,Dissolved,"Mercury, Total",0.025,ug/L
LAGUNA WOODS,Dissolved,"Mercury, Total",0.0326,ug/L
LAGUNA NIGUEL,Total,"Mercury, Total",0.025,ug/L
ALISO VIEJO,Total,"Mercury, Total",0.026764705882352944,ug/L
LAGUNA NIGUEL,Dissolved,"Mercury, Total",0.025,ug/L
ALISO VIEJO,Dissolved,"Mercury, Total",0.026764705882352944,ug/L
RANCHO SANTA MARGARITA,Total,"Mercury, Total",0.025,ug/L
RANCHO SANTA MARGARITA,Dissolved,"Mercury, Total",0.025,ug/L
ORANGE CO,Total,"Mercury, Total",0.02603448275862069,ug/L
ORANGE CO,Dissolved,"Mercury, Total",0.02603448275862069,ug/L
LAGUNA HILLS,Total,"Mercury, Total",0.025,ug/L
LAKE FOREST,Total,"Mercury, Total",0.025,ug/L
LAGUNA HILLS,Dissolved,"Mercury, Total",0.025,ug/L
LAKE FOREST,Dissolved,"Mercury, Total",0.025,ug/L
LAGUNA BEACH,Total,"Mercury, Total",0.025,ug/L
LAGUNA BEACH,Dissolved,"Mercury, Total",0.025,ug/L
SAN JUAN CAPISTRANO,Total,"Mercury, Total",0.025,ug/L
DANA POINT,Total,"Mercury, Total",0.025,ug/L
SAN JUAN CAPISTRANO,Dissolved,"Mercury, Total",0.025,ug/L
DANA POINT,Dissolved,"Mercury, Total",0.025,ug/L
SAN CLEMENTE,Total,"Mercury, Total",0.025,ug/L
SAN CLEMENTE,Dissolved,"Mercury, Total",0.025,ug/L
MISSION VIEJO,Total,"Nickel, Total",21.520833333333332,ug/L
LAGUNA WOODS,Total,"Nickel, Total",5.3625,ug/L
MISSION VIEJO,Dissolved,"Nickel, Total",21.520833333333332,ug/L
LAGUNA WOODS,Dissolved,"Nickel, Total",5.3625,ug/L
LAGUNA NIGUEL,Total,"Nickel, Total",11.9125,ug/L
ALISO VIEJO,Total,"Nickel, Total",7.181578947368421,ug/L
LAGUNA NIGUEL,Dissolved,"Nickel, Total",11.9125,ug/L
ALISO VIEJO,Dissolved,"Nickel, Total",7.181578947368421,ug/L
RANCHO SANTA MARGARITA,Total,"Nickel, Total",8.368421052631579,ug/L
RANCHO SANTA MARGARITA,Dissolved,"Nickel, Total",8.368421052631579,ug/L
ORANGE CO,Total,"Nickel, Total",29.211111111111112,ug/L
ORANGE CO,Dissolved,"Nickel, Total",29.211111111111112,ug/L
LAGUNA HILLS,Total,"Nickel, Total",4.2,ug/L
LAKE FOREST,Total,"Nickel, Total",2.97,ug/L
LAGUNA HILLS,Dissolved,"Nickel, Total",4.2,ug/L
LAKE FOREST,Dissolved,"Nickel, Total",2.97,ug/L
LAGUNA BEACH,Total,"Nickel, Total",2.2,ug/L
LAGUNA BEACH,Dissolved,"Nickel, Total",2.2,ug/L
SAN JUAN CAPISTRANO,Total,"Nickel, Total",3.4937500000000004,ug/L
DANA POINT,Total,"Nickel, Total",9.467857142857143,ug/L
SAN JUAN CAPISTRANO,Dissolved,"Nickel, Total",3.4937500000000004,ug/L
DANA POINT,Dissolved,"Nickel, Total",9.467857142857143,ug/L
SAN CLEMENTE,Total,"Nickel, Total",490.99375,ug/L
SAN CLEMENTE,Dissolved,"Nickel, Total",490.99375,ug/L
MISSION VIEJO,Total,"Selenium, Total",16.795833333333334,ug/L
LAGUNA WOODS,Total,"Selenium, Total",4.3725,ug/L
MISSION VIEJO,Dissolved,"Selenium, Total",16.795833333333334,ug/L
LAGUNA WOODS,Dissolved,"Selenium, Total",4.3725,ug/L
LAGUNA NIGUEL,Total,"Selenium, Total",5.34375,ug/L
ALISO VIEJO,Total,"Selenium, Total",9.7625,ug/L
LAGUNA NIGUEL,Dissolved,"Selenium, Total",5.34375,ug/L
ALISO VIEJO,Dissolved,"Selenium, Total",9.7625,ug/L
RANCHO SANTA MARGARITA,Total,"Selenium, Total",5.459375,ug/L
RANCHO SANTA MARGARITA,Dissolved,"Selenium, Total",5.459375,ug/L
ORANGE CO,Total,"Selenium, Total",6.932666666666667,ug/L
ORANGE CO,Dissolved,"Selenium, Total",6.932666666666667,ug/L
LAGUNA HILLS,Total,"Selenium, Total",7.55,ug/L
LAKE FOREST,Total,"Selenium, Total",5.3125,ug/L
LAGUNA HILLS,Dissolved,"Selenium, Total",7.55,ug/L
LAKE FOREST,Dissolved,"Selenium, Total",5.3125,ug/L
LAGUNA BEACH,Total,"Selenium, Total",1.9625,ug/L
LAGUNA BEACH,Dissolved,"Selenium, Total",1.9625,ug/L
SAN JUAN CAPISTRANO,Total,"Selenium, Total",6.00625,ug/L
DANA POINT,Total,"Selenium, Total",4.227142857142857,ug/L
SAN JUAN CAPISTRANO,Dissolved,"Selenium, Total",6.00625,ug/L
DANA POINT,Dissolved,"Selenium, Total",4.227142857142857,ug/L
SAN CLEMENTE,Total,"Selenium, Total",7.11875,ug/L
SAN CLEMENTE,Dissolved,"Selenium, Total",7.11875,ug/L
MISSION VIEJO,Total,"Silver, Total",0.1,ug/L
LAGUNA WOODS,Total,"Silver, Total",0.1,ug/L
MISSION VIEJO,Dissolved,"Silver, Total",0.1,ug/L
LAGUNA WOODS,Dissolved,"Silver, Total",0.1,ug/L
LAGUNA NIGUEL,Total,"Silver, Total",0.1,ug/L
ALISO VIEJO,Total,"Silver, Total",0.1,ug/L
LAGUNA NIGUEL,Dissolved,"Silver, Total",0.1,ug/L
ALISO VIEJO,Dissolved,"Silver, Total",0.1,ug/L
RANCHO SANTA MARGARITA,Total,"Silver, Total",0.1,ug/L
RANCHO SANTA MARGARITA,Dissolved,"Silver, Total",0.1,ug/L
ORANGE CO,Total,"Silver, Total",0.1,ug/L
ORANGE CO,Dissolved,"Silver, Total",0.1,ug/L
LAGUNA HILLS,Total,"Silver, Total",0.1,ug/L
LAKE FOREST,Total,"Silver, Total",0.1,ug/L
LAGUNA HILLS,Dissolved,"Silver, Total",0.1,ug/L
LAKE FOREST,Dissolved,"Silver, Total",0.1,ug/L
LAGUNA BEACH,Total,"Silver, Total",0.1,ug/L
LAGUNA BEACH,Dissolved,"Silver, Total",0.1,ug/L
SAN JUAN CAPISTRANO,Total,"Silver, Total",0.1,ug/L
DANA POINT,Total,"Silver, Total",0.1,ug/L
SAN JUAN CAPISTRANO,Dissolved,"Silver, Total",0.1,ug/L
DANA POINT,Dissolved,"Silver, Total",0.1,ug/L
SAN CLEMENTE,Total,"Silver, Total",0.1,ug/L
SAN CLEMENTE,Dissolved,"Silver, Total",0.1,ug/L
MISSION VIEJO,Total,"Thallium, Total",0.13428571428571429,ug/L
LAGUNA WOODS,Total,"Thallium, Total",0.1,ug/L
MISSION VIEJO,Dissolved,"Thallium, Total",0.13428571428571429,ug/L
LAGUNA WOODS,Dissolved,"Thallium, Total",0.1,ug/L
LAGUNA NIGUEL,Total,"Thallium, Total",0.1,ug/L
ALISO VIEJO,Total,"Thallium, Total",0.1,ug/L
LAGUNA NIGUEL,Dissolved,"Thallium, Total",0.1,ug/L
ALISO VIEJO,Dissolved,"Thallium, Total",0.1,ug/L
RANCHO SANTA MARGARITA,Total,"Thallium, Total",0.13470588235294118,ug/L
RANCHO SANTA MARGARITA,Dissolved,"Thallium, Total",0.13470588235294118,ug/L
ORANGE CO,Total,"Thallium, Total",0.11838709677419355,ug/L
ORANGE CO,Dissolved,"Thallium, Total",0.11838709677419355,ug/L
LAGUNA HILLS,Total,"Thallium, Total",0.1,ug/L
LAKE FOREST,Total,"Thallium, Total",0.1,ug/L
LAGUNA HILLS,Dissolved,"Thallium, Total",0.1,ug/L
LAKE FOREST,Dissolved,"Thallium, Total",0.1,ug/L
LAGUNA BEACH,Total,"Thallium, Total",0.1,ug/L
LAGUNA BEACH,Dissolved,"Thallium, Total",0.1,ug/L
SAN JUAN CAPISTRANO,Total,"Thallium, Total",0.1,ug/L
DANA POINT,Total,"Thallium, Total",0.1,ug/L
SAN JUAN CAPISTRANO,Dissolved,"Thallium, Total",0.1,ug/L
DANA POINT,Dissolved,"Thallium, Total",0.1,ug/L
SAN CLEMENTE,Total,"Thallium, Total",0.16363636363636364,ug/L
SAN CLEMENTE,Dissolved,"Thallium, Total",0.16363636363636364,ug/L
MISSION VIEJO,Total,Total Organic Carbon (TOC),8.475,mg/L
LAGUNA WOODS,Total,Total Organic Carbon (TOC),22.55,mg/L
LAGUNA NIGUEL,Total,Total Organic Carbon (TOC),7.20625,mg/L
ALISO VIEJO,Total,Total Organic Carbon (TOC),8.5375,mg/L
RANCHO SANTA MARGARITA,Total,Total Organic Carbon (TOC),9.178571428571429,mg/L
ORANGE CO,Total,Total Organic Carbon (TOC),8.896428571428572,mg/L
LAGUNA HILLS,Total,Total Organic Carbon (TOC),3.5999999999999996,mg/L
LAKE FOREST,Total,Total Organic Carbon (TOC),4.75,mg/L
LAGUNA BEACH,Total,Total Organic Carbon (TOC),6.125,mg/L
SAN JUAN CAPISTRANO,Total,Total Organic Carbon (TOC),8.525,mg/L
DANA POINT,Total,Total Organic Carbon (TOC),8.2,mg/L
SAN CLEMENTE,Total,Total Organic Carbon (TOC),14.25,mg/L
MISSION VIEJO,Total,"Zinc, Total",12.3,ug/L
LAGUNA WOODS,Total,"Zinc, Total",12.833333333333334,ug/L
MISSION VIEJO,Dissolved,"Zinc, Total",12.3,ug/L
LAGUNA WOODS,Dissolved,"Zinc, Total",12.833333333333334,ug/L
LAGUNA NIGUEL,Total,"Zinc, Total",11.617647058823529,ug/L
ALISO VIEJO,Total,"Zinc, Total",24.047619047619047,ug/L
LAGUNA NIGUEL,Dissolved,"Zinc, Total",11.617647058823529,ug/L
ALISO VIEJO,Dissolved,"Zinc, Total",24.047619047619047,ug/L
RANCHO SANTA MARGARITA,Total,"Zinc, Total",10.428571428571429,ug/L
RANCHO SANTA MARGARITA,Dissolved,"Zinc, Total",10.428571428571429,ug/L
ORANGE CO,Total,"Zinc, Total",12.5,ug/L
ORANGE CO,Dissolved,"Zinc, Total",12.5,ug/L
LAGUNA HILLS,Total,"Zinc, Total",7.75,ug/L
LAKE FOREST,Total,"Zinc, Total",8,ug/L
LAGUNA HILLS,Dissolved,"Zinc, Total",7.75,ug/L
LAKE FOREST,Dissolved,"Zinc, Total",8,ug/L
LAGUNA BEACH,Total,"Zinc, Total",5,ug/L
LAGUNA BEACH,Dissolved,"Zinc, Total",5,ug/L
SAN JUAN CAPISTRANO,Total,"Zinc, Total",8.25,ug/L
DANA POINT,Total,"Zinc, Total",10.035714285714286,ug/L
SAN JUAN CAPISTRANO,Dissolved,"Zinc, Total",8.25,ug/L
DANA POINT,Dissolved,"Zinc, Total",10.035714285714286,ug/L
SAN CLEMENTE,Total,"Zinc, Total",114.0909090909091,ug/L
SAN CLEMENTE,Dissolved,"Zinc, Total",114.0909090909091,ug/L
MISSION VIEJO,Total,"Ammonia, as Nitrogen",0.165,mg/L
LAGUNA WOODS,Total,"Ammonia, as Nitrogen",0.21666666666666667,mg/L
LAGUNA NIGUEL,Total,"Ammonia, as Nitrogen",0.19153846153846155,mg/L
ALISO VIEJO,Total,"Ammonia, as Nitrogen",0.835,mg/L
RANCHO SANTA MARGARITA,Total,"Ammonia, as Nitrogen",0.19625,mg/L
ORANGE CO,Total,"Ammonia, as Nitrogen",0.6338888888888888,mg/L
LAGUNA HILLS,Total,"Ammonia, as Nitrogen",0.08,mg/L
LAKE FOREST,Total,"Ammonia, as Nitrogen",0.07,mg/L
LAGUNA BEACH,Total,"Ammonia, as Nitrogen",0.05,mg/L
SAN JUAN CAPISTRANO,Total,"Ammonia, as Nitrogen",0.13666666666666666,mg/L
DANA POINT,Total,"Ammonia, as Nitrogen",0.19428571428571428,mg/L
SAN CLEMENTE,Total,"Ammonia, as Nitrogen",0.54,mg/L
MISSION VIEJO,Total,Chloride,405.8333333333333,mg/L
LAGUNA WOODS,Total,Chloride,495,mg/L
LAGUNA NIGUEL,Total,Chloride,550,mg/L
ALISO VIEJO,Total,Chloride,358.75,mg/L
RANCHO SANTA MARGARITA,Total,Chloride,232.85714285714286,mg/L
ORANGE CO,Total,Chloride,453.92857142857144,mg/L
LAGUNA HILLS,Total,Chloride,485,mg/L
LAKE FOREST,Total,Chloride,375,mg/L
LAGUNA BEACH,Total,Chloride,1562.5,mg/L
SAN JUAN CAPISTRANO,Total,Chloride,538.75,mg/L
DANA POINT,Total,Chloride,629.1666666666666,mg/L
SAN CLEMENTE,Total,Chloride,955,mg/L
MISSION VIEJO,Total,Nitrate + Nitrite as N,2.3333333333333335,mg/L
LAGUNA WOODS,Total,Nitrate + Nitrite as N,7.225,mg/L
LAGUNA NIGUEL,Total,Nitrate + Nitrite as N,2.553125,mg/L
ALISO VIEJO,Total,Nitrate + Nitrite as N,5.791875,mg/L
RANCHO SANTA MARGARITA,Total,Nitrate + Nitrite as N,1.3192857142857144,mg/L
ORANGE CO,Total,Nitrate + Nitrite as N,3.125714285714286,mg/L
LAGUNA HILLS,Total,Nitrate + Nitrite as N,1.5,mg/L
LAKE FOREST,Total,Nitrate + Nitrite as N,3.9000000000000004,mg/L
LAGUNA BEACH,Total,Nitrate + Nitrite as N,0.26,mg/L
SAN JUAN CAPISTRANO,Total,Nitrate + Nitrite as N,1.9975,mg/L
DANA POINT,Total,Nitrate + Nitrite as N,1.7566666666666666,mg/L
SAN CLEMENTE,Total,Nitrate + Nitrite as N,7.7375,mg/L
MISSION VIEJO,Total,"Nitrogen, Total Kjeldahl",1.4216666666666669,mg/L
LAGUNA WOODS,Total,"Nitrogen, Total Kjeldahl",1.8900000000000001,mg/L
LAGUNA NIGUEL,Total,"Nitrogen, Total Kjeldahl",1.2416666666666667,mg/L
ALISO VIEJO,Total,"Nitrogen, Total Kjeldahl",2.267777777777778,mg/L
RANCHO SANTA MARGARITA,Total,"Nitrogen, Total Kjeldahl",1.5585714285714285,mg/L
ORANGE CO,Total,"Nitrogen, Total Kjeldahl",2.2060714285714287,mg/L
