JURISDICTI3,Sample Type,Parameter,ResultJuris,Units
SAN JUAN CAPISTRANO,Total,BHC-gamma,2.5,ng/L
DANA POINT,Total,BHC-gamma,2.5,ng/L
SAN CLEMENTE,Total,BHC-gamma,2.5,ng/L
MISSION VIEJO,Total,Bolstar (Sulprofos),2,ng/L
LAGUNA WOODS,Total,Bolstar (Sulprofos),2,ng/L
LAGUNA NIGUEL,Total,Bolstar (Sulprofos),2,ng/L
ALISO VIEJO,Total,Bolstar (Sulprofos),2,ng/L
RANCHO SANTA MARGARITA,Total,Bolstar (Sulprofos),2,ng/L
ORANGE CO,Total,Bolstar (Sulprofos),2,ng/L
LAGUNA HILLS,Total,Bolstar (Sulprofos),2,ng/L
LAKE FOREST,Total,Bolstar (Sulprofos),2,ng/L
LAGUNA BEACH,Total,Bolstar (Sulprofos),2,ng/L
SAN JUAN CAPISTRANO,Total,Bolstar (Sulprofos),2,ng/L
DANA POINT,Total,Bolstar (Sulprofos),2,ng/L
SAN CLEMENTE,Total,Bolstar (Sulprofos),2,ng/L
MISSION VIEJO,Total,Chlordane-alpha,1,ng/L
LAGUNA WOODS,Total,Chlordane-alpha,1,ng/L
LAGUNA NIGUEL,Total,Chlordane-alpha,1,ng/L
ALISO VIEJO,Total,Chlordane-alpha,1,ng/L
RANCHO SANTA MARGARITA,Total,Chlordane-alpha,1,ng/L
ORANGE CO,Total,Chlordane-alpha,1,ng/L
LAGUNA HILLS,Total,Chlordane-alpha,1,ng/L
LAKE FOREST,Total,Chlordane-alpha,1,ng/L
LAGUNA BEACH,Total,Chlordane-alpha,1,ng/L
SAN JUAN CAPISTRANO,Total,Chlordane-alpha,1,ng/L
DANA POINT,Total,Chlordane-alpha,1,ng/L
SAN CLEMENTE,Total,Chlordane-alpha,1,ng/L
MISSION VIEJO,Total,Chlordane-gamma,1,ng/L
LAGUNA WOODS,Total,Chlordane-gamma,1,ng/L
LAGUNA NIGUEL,Total,Chlordane-gamma,1,ng/L
ALISO VIEJO,Total,Chlordane-gamma,1,ng/L
RANCHO SANTA MARGARITA,Total,Chlordane-gamma,1,ng/L
ORANGE CO,Total,Chlordane-gamma,1,ng/L
LAGUNA HILLS,Total,Chlordane-gamma,1,ng/L
LAKE FOREST,Total,Chlordane-gamma,1,ng/L
LAGUNA BEACH,Total,Chlordane-gamma,1,ng/L
SAN JUAN CAPISTRANO,Total,Chlordane-gamma,1,ng/L
DANA POINT,Total,Chlordane-gamma,1,ng/L
SAN CLEMENTE,Total,Chlordane-gamma,1,ng/L
MISSION VIEJO,Total,Chlorpyrifos,0.5,ng/L
LAGUNA WOODS,Total,Chlorpyrifos,0.5,ng/L
LAGUNA NIGUEL,Total,Chlorpyrifos,0.5,ng/L
ALISO VIEJO,Total,Chlorpyrifos,0.5,ng/L
RANCHO SANTA MARGARITA,Total,Chlorpyrifos,0.5,ng/L
ORANGE CO,Total,Chlorpyrifos,0.5,ng/L
LAGUNA HILLS,Total,Chlorpyrifos,0.5,ng/L
LAKE FOREST,Total,Chlorpyrifos,0.5,ng/L
LAGUNA BEACH,Total,Chlorpyrifos,0.5,ng/L
SAN JUAN CAPISTRANO,Total,Chlorpyrifos,0.5,ng/L
DANA POINT,Total,Chlorpyrifos,0.5,ng/L
SAN CLEMENTE,Total,Chlorpyrifos,0.5,ng/L
MISSION VIEJO,Total,Chrysene,2.5,ng/L
LAGUNA NIGUEL,Total,Chrysene,2.8722222222222222,ng/L
ALISO VIEJO,Total,Chrysene,7.105555555555556,ng/L
RANCHO SANTA MARGARITA,Total,Chrysene,2.5,ng/L
ORANGE CO,Total,Chrysene,2.5,ng/L
LAGUNA HILLS,Total,Chrysene,2.5,ng/L
LAGUNA WOODS,Total,Chrysene,2.5,ng/L
LAKE FOREST,Total,Chrysene,2.5,ng/L
LAGUNA BEACH,Total,Chrysene,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Chrysene,2.5,ng/L
DANA POINT,Total,Chrysene,2.5,ng/L
SAN CLEMENTE,Total,Chrysene,2.5,ng/L
MISSION VIEJO,Total,Demeton,1,ng/L
LAGUNA WOODS,Total,Demeton,1,ng/L
LAGUNA NIGUEL,Total,Demeton,1,ng/L
ALISO VIEJO,Total,Demeton,1,ng/L
RANCHO SANTA MARGARITA,Total,Demeton,1,ng/L
ORANGE CO,Total,Demeton,1,ng/L
LAGUNA HILLS,Total,Demeton,1,ng/L
LAKE FOREST,Total,Demeton,1,ng/L
LAGUNA BEACH,Total,Demeton,1,ng/L
SAN JUAN CAPISTRANO,Total,Demeton,1,ng/L
DANA POINT,Total,Demeton,1,ng/L
SAN CLEMENTE,Total,Demeton,1,ng/L
MISSION VIEJO,Total,Diazinon,0.5,ng/L
LAGUNA WOODS,Total,Diazinon,0.5,ng/L
LAGUNA NIGUEL,Total,Diazinon,0.5,ng/L
ALISO VIEJO,Total,Diazinon,0.5,ng/L
RANCHO SANTA MARGARITA,Total,Diazinon,0.5,ng/L
ORANGE CO,Total,Diazinon,0.5,ng/L
LAGUNA HILLS,Total,Diazinon,0.5,ng/L
LAKE FOREST,Total,Diazinon,0.5,ng/L
LAGUNA BEACH,Total,Diazinon,0.5,ng/L
SAN JUAN CAPISTRANO,Total,Diazinon,0.5,ng/L
DANA POINT,Total,Diazinon,0.5,ng/L
SAN CLEMENTE,Total,Diazinon,0.5,ng/L
MISSION VIEJO,Total,"Dibenz[a,h]anthracene",2.5,ng/L
LAGUNA WOODS,Total,"Dibenz[a,h]anthracene",2.5,ng/L
LAGUNA NIGUEL,Total,"Dibenz[a,h]anthracene",2.5,ng/L
ALISO VIEJO,Total,"Dibenz[a,h]anthracene",2.5,ng/L
RANCHO SANTA MARGARITA,Total,"Dibenz[a,h]anthracene",2.5,ng/L
ORANGE CO,Total,"Dibenz[a,h]anthracene",2.5,ng/L
LAGUNA HILLS,Total,"Dibenz[a,h]anthracene",2.5,ng/L
LAKE FOREST,Total,"Dibenz[a,h]anthracene",2.5,ng/L
LAGUNA BEACH,Total,"Dibenz[a,h]anthracene",2.5,ng/L
SAN JUAN CAPISTRANO,Total,"Dibenz[a,h]anthracene",2.5,ng/L
DANA POINT,Total,"Dibenz[a,h]anthracene",2.5,ng/L
SAN CLEMENTE,Total,"Dibenz[a,h]anthracene",2.5,ng/L
MISSION VIEJO,Total,Dichlorvos,3,ng/L
LAGUNA WOODS,Total,Dichlorvos,3,ng/L
