FacilityID,JURISDICTI3,Qadj_Qall,QJur_US,QJur_S
L01-404-1,ORANGE CO,765057.1882060798,NA,4565554.392303243
L01-724-1 (L01S01),DANA POINT,245138.73214270748,NA,4564971.269228496
L01-724-1 (L01S01),LAGUNA NIGUEL,174089.35162087894,NA,11248484.777351826
L01-724-1 (L01S01),SAN JUAN CAPISTRANO,256083.45119911397,NA,6230027.361350789
L01-724-4 (L01P03),LAGUNA NIGUEL,468158.31861034513,NA,11248484.777351826
L01-724-4 (L01P03),SAN JUAN CAPISTRANO,1145681.827242111,NA,6230027.361350789
L01-726-5,DANA POINT,111410.6356577293,NA,4564971.269228496
L01-726-5,SAN JUAN CAPISTRANO,7448.763165562618,NA,6230027.361350789
L01-728-5 (L01-DP),DANA POINT,0,NA,4564971.269228496
L01-731-1 (L08TBN2),ORANGE CO,723305.629006651,NA,4565554.392303243
L01-731-1 (L08TBN2),RANCHO SANTA MARGARITA,11606237.02728475,NA,17572127.255452607
L02-166-3 (L02P26),ORANGE CO,1759.6301883248925,NA,4565554.392303243
L02-166-3 (L02P26),RANCHO SANTA MARGARITA,311594.45914611226,NA,17572127.255452607
L02-246-1 (L11P01),RANCHO SANTA MARGARITA,1257301.4399999997,NA,17572127.255452607
L02-641-2,ORANGE CO,20483.18968395988,NA,4565554.392303243
L02-641-2,RANCHO SANTA MARGARITA,3463714.3131314125,NA,17572127.255452607
L03-214-2 (L03P18),MISSION VIEJO,1863878.8123590364,NA,9401475.728929143
L03-214-2 (L03P18),RANCHO SANTA MARGARITA,88783.6516800166,NA,17572127.255452607
L03-316-3 (L03P12),MISSION VIEJO,893435.1835532822,NA,9401475.728929143
L03-418-8,LAGUNA NIGUEL,188453.84949148304,NA,11248484.777351826
L03-418-8,MISSION VIEJO,1719639.2671055028,NA,9401475.728929143
L04-672-1,MISSION VIEJO,665335.962144,NA,9401475.728929143
L05-503-1,SAN JUAN CAPISTRANO,1199564.4170879999,NA,6230027.361350789
M01-042-1 (M01S01),SAN CLEMENTE,9329.904,NA,7732503.146447999
M01-047-1,SAN CLEMENTE,7723173.242447999,NA,7732503.146447999
J01-9273-1,LAGUNA HILLS,0,NA,682198.5901776025
J01-9273-1,LAGUNA WOODS,0,NA,1275233.3939980974
