Station,Sample Type,Parameter,Qualifier,ResultAvg,Units
J03-9221-1 (J03P02),Total,d8-Naphthalene,NA,66,ng/L
J01-9224-1 (J01P24),Total,d8-Naphthalene,NA,71.5,ng/L
J01-9224-2 (J01P25),Total,d8-Naphthalene,NA,55,ng/L
L03-662-3 (L03P16),Total,d8-Naphthalene,NA,65,ng/L
L03-214-2 (L03P18),Total,d8-Naphthalene,NA,53.5,ng/L
L03-316-3 (L03P12),Total,d8-Naphthalene,NA,62,ng/L
J01-9992-1 (J01P27),Total,d8-Naphthalene,NA,54.5,ng/L
J01-9131-1 (J01P28),Total,d8-Naphthalene,NA,31,ng/L
J01-9007-1 (J02P05),Total,d8-Naphthalene,NA,74.5,ng/L
J06-10011-1 (J06P01),Total,d8-Naphthalene,NA,67.5,ng/L
J06-9079-1 (J06P03),Total,d8-Naphthalene,NA,54.5,ng/L
J01-9082-2,Total,d8-Naphthalene,NA,56,ng/L
I01-11010-1,Total,d8-Naphthalene,NA,61.5,ng/L
I00-11468-1,Total,d8-Naphthalene,NA,52,ng/L
J01-10004-1 (J01P01),Total,d8-Naphthalene,NA,52,ng/L
L01-749-2,Total,d8-Naphthalene,NA,83.5,ng/L
L05-503-1,Total,d8-Naphthalene,NA,85,ng/L
L01-724-4 (L01P03),Total,d8-Naphthalene,NA,62.5,ng/L
L01-724-1 (L01S01),Total,d8-Naphthalene,NA,59.5,ng/L
L01-728-5 (L01-DP),Total,d8-Naphthalene,NA,78,ng/L
K01-12126-1 (K01S01),Total,d8-Naphthalene,NA,64,ng/L
K01-12159-2,Total,d8-Naphthalene,NA,84,ng/L
K01-12159-3,Total,d8-Naphthalene,NA,90.5,ng/L
L05-489-3,Total,d8-Naphthalene,NA,43.5,ng/L
L05-049-1,Total,d8-Naphthalene,NA,49.5,ng/L
L02-374-1 (L02P50),Total,d8-Naphthalene,NA,57.5,ng/L
L01-404-1,Total,d8-Naphthalene,NA,38.5,ng/L
L01-340-1,Total,d8-Naphthalene,NA,50.5,ng/L
L02-246-1 (L11P01),Total,d8-Naphthalene,NA,55,ng/L
L02-641-1,Total,d8-Naphthalene,NA,61.5,ng/L
L02-641-2,Total,d8-Naphthalene,NA,66,ng/L
L01-731-1 (L08TBN2),Total,d8-Naphthalene,NA,56.5,ng/L
L02-166-3 (L02P26),Total,d8-Naphthalene,NA,52.5,ng/L
L04-672-1,Total,d8-Naphthalene,NA,62,ng/L
M01-042-1 (M01S01),Total,d8-Naphthalene,NA,73.5,ng/L
M02-032-1,Total,d8-Naphthalene,NA,63,ng/L
SC1-2,Total,d8-Naphthalene,NA,70.5,ng/L
M02-085-1 (M02P06),Total,d8-Naphthalene,NA,72.5,ng/L
M02-085-2,Total,d8-Naphthalene,NA,47.5,ng/L
L01-726-5,Total,d8-Naphthalene,NA,62,ng/L
L04-266-5,Total,PCB030,NA,69.5,ng/L
I01-11343-2 (I02P18),Total,PCB030,NA,55.5,ng/L
L03-418-8,Total,PCB030,NA,72.5,ng/L
K01-12177-1 (K01P07),Total,PCB030,NA,73.5,ng/L
J03-9221-1 (J03P02),Total,PCB030,NA,78,ng/L
J01-9224-1 (J01P24),Total,PCB030,NA,77,ng/L
J01-9224-2 (J01P25),Total,PCB030,NA,70,ng/L
L03-662-3 (L03P16),Total,PCB030,NA,70,ng/L
L03-214-2 (L03P18),Total,PCB030,NA,62.5,ng/L
L03-316-3 (L03P12),Total,PCB030,NA,66.5,ng/L
J01-9992-1 (J01P27),Total,PCB030,NA,79,ng/L
J01-9131-1 (J01P28),Total,PCB030,NA,57.5,ng/L
J01-9007-1 (J02P05),Total,PCB030,NA,92,ng/L
J06-10011-1 (J06P01),Total,PCB030,NA,98,ng/L
J06-9079-1 (J06P03),Total,PCB030,NA,87,ng/L
J01-9082-2,Total,PCB030,NA,90.5,ng/L
I01-11010-1,Total,PCB030,NA,76.5,ng/L
I00-11468-1,Total,PCB030,NA,85,ng/L
J01-10004-1 (J01P01),Total,PCB030,NA,71,ng/L
L01-749-2,Total,PCB030,NA,86.5,ng/L
L05-503-1,Total,PCB030,NA,91.5,ng/L
L01-724-4 (L01P03),Total,PCB030,NA,80,ng/L
L01-724-1 (L01S01),Total,PCB030,NA,54.5,ng/L
L01-728-5 (L01-DP),Total,PCB030,NA,101.5,ng/L
K01-12126-1 (K01S01),Total,PCB030,NA,68.5,ng/L
K01-12159-2,Total,PCB030,NA,69,ng/L
K01-12159-3,Total,PCB030,NA,83.5,ng/L
L05-489-3,Total,PCB030,NA,38,ng/L
L05-049-1,Total,PCB030,NA,63,ng/L
L02-374-1 (L02P50),Total,PCB030,NA,69.5,ng/L
L01-404-1,Total,PCB030,NA,59.5,ng/L
L01-340-1,Total,PCB030,NA,78.5,ng/L
L02-246-1 (L11P01),Total,PCB030,NA,81.5,ng/L
L02-641-1,Total,PCB030,NA,64,ng/L
L02-641-2,Total,PCB030,NA,58.5,ng/L
L01-731-1 (L08TBN2),Total,PCB030,NA,69,ng/L
L02-166-3 (L02P26),Total,PCB030,NA,71.5,ng/L
L04-672-1,Total,PCB030,NA,83.5,ng/L
M01-042-1 (M01S01),Total,PCB030,NA,76.5,ng/L
M02-032-1,Total,PCB030,NA,57.5,ng/L
SC1-2,Total,PCB030,NA,60.5,ng/L
M02-085-1 (M02P06),Total,PCB030,NA,79,ng/L
M02-085-2,Total,PCB030,NA,70,ng/L
L01-726-5,Total,PCB030,NA,74,ng/L
L04-266-5,Total,PCB112,NA,69,ng/L
I01-11343-2 (I02P18),Total,PCB112,NA,67,ng/L
L03-418-8,Total,PCB112,NA,92,ng/L
K01-12177-1 (K01P07),Total,PCB112,NA,86,ng/L
J03-9221-1 (J03P02),Total,PCB112,NA,81,ng/L
J01-9224-1 (J01P24),Total,PCB112,NA,82,ng/L
J01-9224-2 (J01P25),Total,PCB112,NA,65,ng/L
L03-662-3 (L03P16),Total,PCB112,NA,72,ng/L
L03-214-2 (L03P18),Total,PCB112,NA,92,ng/L
L03-316-3 (L03P12),Total,PCB112,NA,73.5,ng/L
J01-9992-1 (J01P27),Total,PCB112,NA,96.5,ng/L
J01-9131-1 (J01P28),Total,PCB112,NA,82.5,ng/L
J01-9007-1 (J02P05),Total,PCB112,NA,99,ng/L
J06-10011-1 (J06P01),Total,PCB112,NA,89,ng/L
J06-9079-1 (J06P03),Total,PCB112,NA,86.5,ng/L
J01-9082-2,Total,PCB112,NA,92.5,ng/L
I01-11010-1,Total,PCB112,NA,81.5,ng/L
I00-11468-1,Total,PCB112,NA,94,ng/L
J01-10004-1 (J01P01),Total,PCB112,NA,77,ng/L
L01-749-2,Total,PCB112,NA,94.5,ng/L
L05-503-1,Total,PCB112,NA,81,ng/L
L01-724-4 (L01P03),Total,PCB112,NA,89,ng/L
L01-724-1 (L01S01),Total,PCB112,NA,52,ng/L
L01-728-5 (L01-DP),Total,PCB112,NA,85,ng/L
K01-12126-1 (K01S01),Total,PCB112,NA,84,ng/L
K01-12159-2,Total,PCB112,NA,60,ng/L
K01-12159-3,Total,PCB112,NA,95,ng/L
L05-489-3,Total,PCB112,NA,41.5,ng/L
L05-049-1,Total,PCB112,NA,66.5,ng/L
L02-374-1 (L02P50),Total,PCB112,NA,74.5,ng/L
L01-404-1,Total,PCB112,NA,73.5,ng/L
L01-340-1,Total,PCB112,NA,90,ng/L
L02-246-1 (L11P01),Total,PCB112,NA,99.5,ng/L
L02-641-1,Total,PCB112,NA,104.5,ng/L
L02-641-2,Total,PCB112,NA,81.5,ng/L
L01-731-1 (L08TBN2),Total,PCB112,NA,115,ng/L
L02-166-3 (L02P26),Total,PCB112,NA,77,ng/L
L04-672-1,Total,PCB112,NA,71,ng/L
