Station,Sample Type,Parameter,Qualifier,ResultAvg,Units,JURISDICTI3,Qadj_Qall,LoadQadj_Qall,LoadsPoundsQS,LoadsJurs
I01-11010-1,Total,d8-Naphthalene,NA,61.5,ng/L,LAGUNA BEACH,202915.75420800003,12479318.883792002,7.790577809321181e-4,0.0014698398047458864
I00-11468-1,Total,d8-Naphthalene,NA,52,ng/L,LAGUNA BEACH,212793.76400754126,11065275.728392147,6.907820238137682e-4,0.0014698398047458864
I00-11468-1,Total,d8-Naphthalene,NA,52,ng/L,ORANGE CO,19089.643866775274,992661.4810723142,6.196978039125139e-5,0.11466813911697563
J01-10004-1 (J01P01),Total,d8-Naphthalene,NA,52,ng/L,LAKE FOREST,2050623.5094314318,106632422.49043445,0.006656839144378945,0.009822714429672585
L05-503-1,Total,d8-Naphthalene,NA,85,ng/L,SAN JUAN CAPISTRANO,1199564.4170879999,101962975.45247999,0.006365335330633664,0.011815535414970567
L01-724-4 (L01P03),Total,d8-Naphthalene,NA,62.5,ng/L,LAGUNA NIGUEL,468158.31861034513,29259894.91314657,0.001826634050593019,0.04433887982282886
L01-724-4 (L01P03),Total,d8-Naphthalene,NA,62.5,ng/L,SAN JUAN CAPISTRANO,1145681.827242111,71605114.20263195,0.004470157537727932,0.011815535414970567
L01-724-1 (L01S01),Total,d8-Naphthalene,NA,59.5,ng/L,DANA POINT,245138.73214270748,14585754.562491095,9.105581553359579e-4,0.020465789386379284
L01-724-1 (L01S01),Total,d8-Naphthalene,NA,59.5,ng/L,LAGUNA NIGUEL,174089.35162087894,10358316.421442296,6.466480326872987e-4,0.04433887982282886
L01-724-1 (L01S01),Total,d8-Naphthalene,NA,59.5,ng/L,SAN JUAN CAPISTRANO,256083.45119911397,15236965.346347282,9.512118827480349e-4,0.011815535414970567
L01-728-5 (L01-DP),Total,d8-Naphthalene,NA,78,ng/L,DANA POINT,0,0,0,0.020465789386379284
K01-12126-1 (K01S01),Total,d8-Naphthalene,NA,64,ng/L,DANA POINT,2401759.02142806,153712577.37139583,0.009595954758704608,0.020465789386379284
K01-12126-1 (K01S01),Total,d8-Naphthalene,NA,64,ng/L,LAGUNA NIGUEL,6437196.487691939,411980575.2122841,0.025719085769085884,0.04433887982282886
K01-12159-2,Total,d8-Naphthalene,NA,84,ng/L,DANA POINT,1673540.3519999993,140577389.56799993,0.008775952452686864,0.020465789386379284
K01-12159-3,Total,d8-Naphthalene,NA,90.5,ng/L,DANA POINT,133122.52800000002,12047588.784000002,7.521057736440926e-4,0.020465789386379284
L05-489-3,Total,d8-Naphthalene,NA,43.5,ng/L,ORANGE CO,29545076.777328,1285210839.813768,0.08023302507283749,0.11466813911697563
L05-049-1,Total,d8-Naphthalene,NA,49.5,ng/L,ORANGE CO,6237821.599848001,308772169.19247603,0.019276000812601425,0.11466813911697563
L02-374-1 (L02P50),Total,d8-Naphthalene,NA,57.5,ng/L,ORANGE CO,2819475.9723715195,162119868.41136238,0.010120804356846827,0.11466813911697563
