JURISDICTI3,Sample Type,Parameter,LoadsJurs,LoadsPoundsQUns,TotalLoadPounds
LAKE FOREST,Total,Nitrate + Nitrite as N,876.8544497,2383.946549,3260.800999
LAKE FOREST,Total,"Nitrogen, Total Kjeldahl",152.0188105,475.261139,627.2799495
LAKE FOREST,Total,Phosphorus as PO4,237.3952694,621.965542,859.3608114
LAKE FOREST,Total,TSS,1216.924479,2220.941657,3437.866136
LAKE FOREST,Total,Enterococcus,3.31E+12,9.45E+12,1.28E+13
LAKE FOREST,Total,Fecal coliforms,9.35E+11,3.81E+12,4.75E+12
MISSION VIEJO,Total,"Cadmium, Total",3.895164463,4.640533658,8.54
MISSION VIEJO,Dissolved,"Cadmium, Total",1.495706287,4.640533658,6.14
MISSION VIEJO,Total,"Chromium, Total",0.281456778,0.380952553,0.66
MISSION VIEJO,Dissolved,"Chromium, Total",0.213679008,0.380952553,0.59
MISSION VIEJO,Total,"Copper, Total",3.031207165,6.649836891,10
MISSION VIEJO,Dissolved,"Copper, Total",1.749420839,6.649836891,8.40
MISSION VIEJO,Total,"Iron, Total",130.8929205,125.1083622,256
MISSION VIEJO,Dissolved,"Iron, Total",26.42128819,125.1083622,152
MISSION VIEJO,Total,"Lead, Total",0.095993847,0.174959737,0.27
MISSION VIEJO,Dissolved,"Lead, Total",0.05868359,0.174959737,0.23
MISSION VIEJO,Total,"Manganese, Total",323.1735556,401.2227726,724
MISSION VIEJO,Dissolved,"Manganese, Total",258.2858032,401.2227726,660
MISSION VIEJO,Total,MBAS,26.53354261,57.86428812,84.4
MISSION VIEJO,Total,"Nickel, Total",14.40812827,27.4551619,42
MISSION VIEJO,Dissolved,"Nickel, Total",12.13241595,27.4551619,40
MISSION VIEJO,Total,"Silver, Total",0.05868359,0.127574808,0.19
MISSION VIEJO,Dissolved,"Silver, Total",0.05868359,0.127574808,0.19
MISSION VIEJO,Total,"Zinc, Total",9.695255043,15.69170144,25
MISSION VIEJO,Dissolved,"Zinc, Total",5.860145817,15.69170144,22
MISSION VIEJO,Total,Nitrate + Nitrite as N,1272.475099,2976.745531,4249.22063
MISSION VIEJO,Total,"Nitrogen, Total Kjeldahl",816.0504792,1813.688527,2629.739006
