JURISDICTI3,Sample Type,Parameter,LoadsJurs,LoadsPoundsQUns,TotalLoadPounds
DANA POINT,Total,PCB112,0.020970148277582923,0.0404657512232456,0.06143589950082852
SAN CLEMENTE,Total,PCB112,0.023110405054341088,0.07054697396883323,0.09365737902317432
MISSION VIEJO,Total,PCB198,0.04839154558456438,0.1017409097454483,0.15013245533001268
LAGUNA WOODS,Total,PCB198,0.007217971066992077,0,0.007217971066992077
LAGUNA NIGUEL,Total,PCB198,0.06358879204394621,0.501271329581354,0.5648601216253002
ALISO VIEJO,Total,PCB198,0.02083602218749532,0.6651987130982622,0.6860347352857575
RANCHO SANTA MARGARITA,Total,PCB198,0.14326506677900347,0.060323521923537855,0.20358858870254132
ORANGE CO,Total,PCB198,0.1354581605011977,0.30025560040588617,0.43571376090708386
LAGUNA HILLS,Total,PCB198,0.003875529053618765,0.16872723264654765,0.17260276170016642
LAKE FOREST,Total,PCB198,0.020334094145820412,0.06616979845189339,0.0865038925977138
LAGUNA BEACH,Total,PCB198,0.002379221619481432,0.010735868976284863,0.013115090595766295
SAN JUAN CAPISTRANO,Total,PCB198,0.014282376345092756,0.012578394607436727,0.026860770952529485
DANA POINT,Total,PCB198,0.023919636001006266,0.04194620553629116,0.06586584153729742
SAN CLEMENTE,Total,PCB198,0.027557075817454604,0.07523098714562566,0.10278806296308027
MISSION VIEJO,Total,TCMX,0.034794344794256096,0.07537544933074487,0.11016979412500097
LAGUNA WOODS,Total,TCMX,0.0062858587044140116,0,0.0062858587044140116
LAGUNA NIGUEL,Total,TCMX,0.043461410823058266,0.3365730187167573,0.3800344295398156
ALISO VIEJO,Total,TCMX,0.015235256616836862,0.45754408837446603,0.4727793449913029
RANCHO SANTA MARGARITA,Total,TCMX,0.04689631611966855,0.027753407424897642,0.0746497235445662
ORANGE CO,Total,TCMX,0.09281978923728638,0.17090788801785828,0.2637276772551447
LAGUNA HILLS,Total,TCMX,0.003385764392996614,0.14740456038901692,0.15079032478201354
LAKE FOREST,Total,TCMX,0.011857722282620557,0.04370568673727831,0.05556340901989887
LAGUNA BEACH,Total,TCMX,0.00172100760184227,0.00777323846643576,0.00949424606827803
SAN JUAN CAPISTRANO,Total,TCMX,0.010745396870008719,0.009438892549826912,0.020184289419835633
DANA POINT,Total,TCMX,0.016694504746817555,0.03396072469622718,0.050655229443044736
SAN CLEMENTE,Total,TCMX,0.012367457256154155,0.041678158062887924,0.054045615319042076
MISSION VIEJO,Total,"2,4'-DDD",5.868358955614304e-4,0.001275748084582424,0.0018625839801438542
LAGUNA WOODS,Total,"2,4'-DDD",7.961015399558484e-5,0,7.961015399558484e-5
LAGUNA NIGUEL,Total,"2,4'-DDD",7.02219381610161e-4,0.005741117590051298,0.006443336971661459
ALISO VIEJO,Total,"2,4'-DDD",2.2419269235789626e-4,0.007039139821145631,0.007263332513503528
RANCHO SANTA MARGARITA,Total,"2,4'-DDD",0.001096991157399602,5.351896748602852e-4,0.0016321808322598873
ORANGE CO,Total,"2,4'-DDD",0.0025145882732696746,0.003111456999024728,0.005626045272294402
LAGUNA HILLS,Total,"2,4'-DDD",4.258823135844797e-5,0.001854145413698326,0.001896733645056774
