Station,Sample Type,Parameter,Qualifier,ResultAvg,Units,JURISDICTI3,Qadj_Qall,LoadQadj_Qall,LoadsPoundsQS
L02-374-1 (L02P50),Total,PCB112,NA,74.5,ng/L,ORANGE CO,2819475.9723715195,210050959.9416782,0.013113042166697191
L01-404-1,Total,PCB112,NA,73.5,ng/L,ORANGE CO,765057.1882060798,56231703.33314686,0.003510427646307812
L01-340-1,Total,PCB112,NA,90,ng/L,ORANGE CO,106950.06735932868,9625506.062339582,6.009002144351255e-4
L01-340-1,Total,PCB112,NA,90,ng/L,RANCHO SANTA MARGARITA,1313.8942256581051,118250.48030922946,7.382130198108407e-6
L02-246-1 (L11P01),Total,PCB112,NA,99.5,ng/L,RANCHO SANTA MARGARITA,1257301.4399999997,125101493.27999997,0.007809824610908268
L02-641-1,Total,PCB112,NA,104.5,ng/L,ORANGE CO,4986.284926966567,521066.77486800624,3.252910909050944e-5
L02-641-1,Total,PCB112,NA,104.5,ng/L,RANCHO SANTA MARGARITA,843182.469984656,88112568.11339656,0.0055006833646833
L02-641-2,Total,PCB112,NA,81.5,ng/L,ORANGE CO,20483.18968395988,1669379.9592427304,1.0421589981720256e-4
L02-641-2,Total,PCB112,NA,81.5,ng/L,RANCHO SANTA MARGARITA,3463714.3131314125,282292716.52021015,0.017622943956594223
L01-731-1 (L08TBN2),Total,PCB112,NA,115,ng/L,ORANGE CO,723305.629006651,83180147.33576487,0.005192762650305532
L01-731-1 (L08TBN2),Total,PCB112,NA,115,ng/L,RANCHO SANTA MARGARITA,11606237.02728475,1334717258.1377463,0.08332360724006362
L02-166-3 (L02P26),Total,PCB112,NA,77,ng/L,ORANGE CO,1759.6301883248925,135491.5245010167,8.458452532210422e-6
L02-166-3 (L02P26),Total,PCB112,NA,77,ng/L,RANCHO SANTA MARGARITA,311594.45914611226,23992773.354250643,0.0014978186663734028
L04-672-1,Total,PCB112,NA,71,ng/L,MISSION VIEJO,665335.962144,47238853.312224,0.0029490228255162894
M01-042-1 (M01S01),Total,PCB112,NA,103,ng/L,SAN CLEMENTE,9329.904,960980.1120000001,5.99919787727332e-5
