FacilityID,JURISDICTI3,Qadj_Qall,avgCnx,DischargeJ_cf,DischargeJ_af,JURISDICTI,AnnualCF,QJur_US,QJur_S
DP04-12015-1,ORANGE CO,0,0,54406355.72231314,1248.9980652505315,LAGUNA BEACH,353.71283459716517,49840801.3300099,NA
I00-11518-2,LAGUNA BEACH,116714.64959999998,0.885,3197852.585558988,73.41259379152865,LAGUNA BEACH,131880.95999999996,1879478.3242043818,NA
J01-9005-3,LAGUNA HILLS,322307.05870077235,1,30382783.63122218,697.4927371722264,LAGUNA NIGUEL,322307.05870077235,29700585.041044578,NA
J01-9005-3,LAGUNA NIGUEL,22952297.67706132,1,103212442.91903976,2369.431655625339,LAGUNA NIGUEL,22952297.67706132,91963958.14168793,NA
J01-9066-2 (J01P03),LAKE FOREST,22325.537299355063,1,13086268.751089767,300.4193928165695,MISSION VIEJO,22325.537299355063,9791587.735475397,NA
J01-9066-2 (J01P03),MISSION VIEJO,2705701.975655455,1,29837016.65099346,684.9636513083898,MISSION VIEJO,2705701.975655455,20435540.922064316,NA
J03-9216-1 (J03P01),LAGUNA NIGUEL,359919.1584,1,103212442.91903976,2369.431655625339,LAGUNA NIGUEL,359919.1584,91963958.14168793,NA
J03-9234-5,LAGUNA NIGUEL,332803.8252,0.885,103212442.91903976,2369.431655625339,LAGUNA NIGUEL,376049.52,NA,NA
J03-9368-2 (J03TBN2),LAGUNA NIGUEL,89094.15460799998,1,103212442.91903976,2369.431655625339,LAGUNA NIGUEL,89094.15460799998,91963958.14168793,NA
J07-9022-1,MISSION VIEJO,10652.142168,0.75,29837016.65099346,684.9636513083898,MISSION VIEJO,14202.856224000001,20435540.922064316,NA
K01-12036-5,LAGUNA NIGUEL,1011726.8518895999,0.77,103212442.91903976,2369.431655625339,LAGUNA NIGUEL,1313930.9764799997,91963958.14168793,NA
K01-12155-5,LAGUNA NIGUEL,1232948.189088,0.77,103212442.91903976,2369.431655625339,LAGUNA NIGUEL,1601231.4144000001,91963958.14168793,NA
K01-12156-6,LAGUNA NIGUEL,7530931.583999999,1,103212442.91903976,2369.431655625339,LAGUNA NIGUEL,7530931.583999999,NA,NA
L01-125-3,ORANGE CO,7364.178543822233,0.77,54406355.72231314,1248.9980652505315,RANCHO SANTA MARGARITA,9563.868238730172,49840801.3300099,NA
L01-125-3,RANCHO SANTA MARGARITA,684334.367566777,0.77,26145050.573031798,600.2077725673049,RANCHO SANTA MARGARITA,888745.9319049052,8572923.317579193,NA
L01-728-2,DANA POINT,23868.345838683457,0.5,13188470.493113145,302.7656219722944,DANA POINT,47736.691677366915,8623499.22388465,NA
L01-728-3 (L01S02),DANA POINT,14102.525237579173,0.5,13188470.493113145,302.7656219722944,DANA POINT,28205.050475158347,8623499.22388465,NA
L01-728-3 (L01S02),SAN CLEMENTE,328.9115623758307,0.5,19982422.455257487,458.73329787092484,DANA POINT,657.8231247516615,12249919.308809487,NA
L01-728-3 (L01S02),SAN JUAN CAPISTRANO,147217.3470949733,0.5,8842496.99493502,202.9957987817957,DANA POINT,294434.6941899466,2612469.6335842325,NA
L01-749-2d,SAN JUAN CAPISTRANO,1149444.1728,0.77,8842496.99493502,202.9957987817957,SAN JUAN CAPISTRANO,1492784.64,2612469.6335842325,NA
L01-760-2,ORANGE CO,525932.7716966401,0.77,54406355.72231314,1248.9980652505315,ORANGE CO,683029.573632,49840801.3300099,NA
L01-766-7,SAN JUAN CAPISTRANO,0,0,8842496.99493502,202.9957987817957,SAN JUAN CAPISTRANO,2444.434848,2612469.6335842325,NA
L02-198-1 (L02P29),RANCHO SANTA MARGARITA,54369.791999999994,0.25,26145050.573031798,600.2077725673049,RANCHO SANTA MARGARITA,217479.16799999998,8572923.317579193,NA
L02-374-2 (MVL02P20),MISSION VIEJO,148270.9536,0.77,29837016.65099346,684.9636513083898,ORANGE CO,192559.68,20435540.922064316,NA
L02-541-6,SAN JUAN CAPISTRANO,56547.3312,1,8842496.99493502,202.9957987817957,SAN JUAN CAPISTRANO,56547.3312,2612469.6335842325,NA
L02-622-1 (L02P28),RANCHO SANTA MARGARITA,288219.520512,0.77,26145050.573031798,600.2077725673049,RANCHO SANTA MARGARITA,374311.0656,8572923.317579193,NA
L03-074-1 (L03B01),MISSION VIEJO,380588.5439999999,1,29837016.65099346,684.9636513083898,MISSION VIEJO,380588.5439999999,NA,NA
L03-241-4,MISSION VIEJO,388524.5663039999,1,29837016.65099346,684.9636513083898,MISSION VIEJO,388524.5663039999,20435540.922064316,NA
L03-316-2,MISSION VIEJO,24561.792,0.6666666666666666,29837016.65099346,684.9636513083898,MISSION VIEJO,36842.688,20435540.922064316,NA
L03-316-4,MISSION VIEJO,0,0.75,29837016.65099346,684.9636513083898,MISSION VIEJO,0,20435540.922064316,NA
L03-418-2,LAGUNA NIGUEL,166881.84667199999,0.5,103212442.91903976,2369.431655625339,LAGUNA NIGUEL,333763.69334399997,91963958.14168793,NA
LC06-11509-2,LAGUNA BEACH,63359.86109271604,0.5,3197852.585558988,73.41259379152865,LAGUNA BEACH,126719.72218543208,1879478.3242043818,NA
LC06-11509-2,ORANGE CO,36605.083270954434,0.5,54406355.72231314,1248.9980652505315,LAGUNA BEACH,73210.16654190887,49840801.3300099,NA
M02-052-2,ORANGE CO,410102.42568032787,1,54406355.72231314,1248.9980652505315,SAN CLEMENTE,410102.42568032787,49840801.3300099,NA
M02-052-2,SAN CLEMENTE,6464450.7397396,1,19982422.455257487,458.73329787092484,SAN CLEMENTE,6464450.7397396,12249919.308809487,NA
M02-052-4,SAN CLEMENTE,111958.84799999998,1,19982422.455257487,458.73329787092484,SAN CLEMENTE,111958.84799999998,NA,NA
M02-061-4 (SCBS@M02),SAN CLEMENTE,132428.65737600002,1,19982422.455257487,458.73329787092484,SAN CLEMENTE,132428.65737600002,12249919.308809487,NA
M02-061-6,SAN CLEMENTE,287604.43200000003,1,19982422.455257487,458.73329787092484,SAN CLEMENTE,287604.43200000003,12249919.308809487,NA
M02-061-7,SAN CLEMENTE,0,0,19982422.455257487,458.73329787092484,SAN CLEMENTE,13521600,NA,NA
SC05-073-3,SAN CLEMENTE,61516.519199999995,0.75,19982422.455257487,458.73329787092484,SAN CLEMENTE,82022.0256,12249919.308809487,NA
SC06-146-2 (M00P02),SAN CLEMENTE,1399462.8391860474,1,19982422.455257487,458.73329787092484,SAN CLEMENTE,1399462.8391860474,12249919.308809487,NA
SC07-079-5,SAN CLEMENTE,201525.9264,0.75,19982422.455257487,458.73329787092484,SAN CLEMENTE,268701.2352,12249919.308809487,NA
SM01-086-2,SAN CLEMENTE,416465.28,0.77,19982422.455257487,458.73329787092484,SAN CLEMENTE,540864,12249919.308809487,NA
