JURISDICTI3,Sample Type,Parameter,Units,LoadsPoundsQUns,LoadQUns_j
ALISO VIEJO,Total,Enterococcus,CFU/100 mL,784133721615543.25,784133721615543.25
ALISO VIEJO,Total,Fecal coliforms,CFU/100 mL,213067372321673.28,213067372321673.28
ALISO VIEJO,Total,Total Coliforms,CFU/100 mL,5639495137820266,5639495137820266
LAGUNA BEACH,Total,d10-Acenaphthene,ng/L,0.007919903343160964,0.007919903343160964
LAGUNA BEACH,Total,d10-Phenanthrene,ng/L,0.009210554258342751,0.009210554258342751
LAGUNA BEACH,Total,d12-Chrysene,ng/L,0.010970532779045188,0.010970532779045188
LAGUNA BEACH,Total,d8-Naphthalene,ng/L,0.006658585403324218,0.006658585403324218
LAGUNA BEACH,Total,PCB030,ng/L,0.009474551036448115,0.009474551036448115
LAGUNA BEACH,Total,PCB112,ng/L,0.010295874346109252,0.010295874346109252
LAGUNA BEACH,Total,PCB198,ng/L,0.010735868976284863,0.010735868976284863
LAGUNA BEACH,Total,TCMX,ng/L,0.00777323846643576,0.00777323846643576
LAGUNA BEACH,Total,"2,4'-DDD",ng/L,1.1733190138016244e-4,1.1733190138016244e-4
LAGUNA BEACH,Total,"2,4'-DDE",ng/L,1.1733190138016244e-4,1.1733190138016244e-4
LAGUNA BEACH,Total,"2,4'-DDT",ng/L,1.1733190138016244e-4,1.1733190138016244e-4
LAGUNA BEACH,Total,"4,4'-DDD",ng/L,1.1733190138016244e-4,1.1733190138016244e-4
LAGUNA BEACH,Total,"4,4'-DDE",ng/L,1.1733190138016244e-4,1.1733190138016244e-4
LAGUNA BEACH,Total,"4,4'-DDT",ng/L,1.1733190138016244e-4,1.1733190138016244e-4
LAGUNA BEACH,Total,Acenaphthene,ng/L,2.9332975345040607e-4,2.9332975345040607e-4
LAGUNA BEACH,Total,Acenaphthylene,ng/L,2.9332975345040607e-4,2.9332975345040607e-4
LAGUNA BEACH,Total,Aldrin,ng/L,2.9332975345040607e-4,2.9332975345040607e-4
LAGUNA BEACH,Total,Anthracene,ng/L,2.9332975345040607e-4,2.9332975345040607e-4
LAGUNA BEACH,Total,Benz[a]anthracene,ng/L,2.9332975345040607e-4,2.9332975345040607e-4
LAGUNA BEACH,Total,Benzo[a]pyrene,ng/L,2.9332975345040607e-4,2.9332975345040607e-4
LAGUNA BEACH,Total,Benzo[b]fluoranthene,ng/L,2.9332975345040607e-4,2.9332975345040607e-4
LAGUNA BEACH,Total,"Benzo[g,h,i]perylene",ng/L,2.9332975345040607e-4,2.9332975345040607e-4
LAGUNA BEACH,Total,Benzo[k]fluoranthene,ng/L,2.9332975345040607e-4,2.9332975345040607e-4
LAGUNA BEACH,Total,BHC-alpha,ng/L,2.9332975345040607e-4,2.9332975345040607e-4
LAGUNA BEACH,Total,BHC-beta,ng/L,2.9332975345040607e-4,2.9332975345040607e-4
LAGUNA BEACH,Total,BHC-delta,ng/L,2.9332975345040607e-4,2.9332975345040607e-4
LAGUNA BEACH,Total,BHC-gamma,ng/L,2.9332975345040607e-4,2.9332975345040607e-4
LAGUNA BEACH,Total,Bolstar (Sulprofos),ng/L,2.3466380276032487e-4,2.3466380276032487e-4
LAGUNA BEACH,Total,Chlordane-alpha,ng/L,1.1733190138016244e-4,1.1733190138016244e-4
LAGUNA BEACH,Total,Chlordane-gamma,ng/L,1.1733190138016244e-4,1.1733190138016244e-4
LAGUNA BEACH,Total,Chlorpyrifos,ng/L,5.866595069008122e-5,5.866595069008122e-5
LAGUNA BEACH,Total,Chrysene,ng/L,2.9332975345040607e-4,2.9332975345040607e-4
LAGUNA BEACH,Total,Demeton,ng/L,1.1733190138016244e-4,1.1733190138016244e-4
LAGUNA BEACH,Total,Diazinon,ng/L,5.866595069008122e-5,5.866595069008122e-5
LAGUNA BEACH,Total,"Dibenz[a,h]anthracene",ng/L,2.9332975345040607e-4,2.9332975345040607e-4
