JURISDICTI3,Sample Type,Parameter,Units,LoadsPoundsQUns,LoadQUns_j
LAGUNA HILLS,Total,Phenanthrene,ng/L,0.004635363534245816,0.004635363534245816
LAGUNA HILLS,Total,Phorate,ng/L,0.009270727068491632,0.009270727068491632
LAGUNA HILLS,Total,Pyrene,ng/L,0.004635363534245816,0.004635363534245816
LAGUNA HILLS,Total,Tetrachlorvinphos (Stirofos),ng/L,0.003708290827396652,0.003708290827396652
LAGUNA HILLS,Total,Tokuthion (Prothiofos),ng/L,0.005562436241094978,0.005562436241094978
LAGUNA HILLS,Total,Toxaphene,ng/L,0.023176817671229075,0.023176817671229075
LAGUNA HILLS,Total,trans-Nonachlor,ng/L,0.001854145413698326,0.001854145413698326
LAGUNA HILLS,Total,Trichloronate,ng/L,0.001854145413698326,0.001854145413698326
LAGUNA HILLS,Total,"Arsenic, Total",ug/L,11.310287023559788,11.310287023559788
LAGUNA HILLS,Dissolved,"Arsenic, Total",ug/L,11.310287023559788,11.310287023559788
LAGUNA HILLS,Total,"Cadmium, Total",ug/L,0.7880118008217888,0.7880118008217888
LAGUNA HILLS,Dissolved,"Cadmium, Total",ug/L,0.7880118008217888,0.7880118008217888
LAGUNA HILLS,Total,"Calcium, Total",ug/L,496.9109708711514,496.9109708711514
LAGUNA HILLS,Total,Chromium 6+,ug/L,0.40513077289308425,0.40513077289308425
LAGUNA HILLS,Dissolved,Chromium 6+,ug/L,0.40513077289308425,0.40513077289308425
LAGUNA HILLS,Total,"Chromium, Total",ug/L,0.750928892547822,0.750928892547822
LAGUNA HILLS,Dissolved,"Chromium, Total",ug/L,0.750928892547822,0.750928892547822
LAGUNA HILLS,Total,"Copper, Total",ug/L,7.555642560820678,7.555642560820678
LAGUNA HILLS,Dissolved,"Copper, Total",ug/L,7.555642560820678,7.555642560820678
LAGUNA HILLS,Total,Dissolved Organic Carbon,ug/L,6.48950894794414,6.48950894794414
LAGUNA HILLS,Total,"Hardness as CaCO3, Total",ug/L,1928.311230246259,1928.311230246259
LAGUNA HILLS,Total,"Iron, Total",ug/L,27.81218120547489,27.81218120547489
LAGUNA HILLS,Dissolved,"Iron, Total",ug/L,27.81218120547489,27.81218120547489
LAGUNA HILLS,Total,"Lead, Total",ug/L,0.1854145413698326,0.1854145413698326
LAGUNA HILLS,Dissolved,"Lead, Total",ug/L,0.1854145413698326,0.1854145413698326
LAGUNA HILLS,Total,"Magnesium, Total",ug/L,166.78037996216443,166.78037996216443
LAGUNA HILLS,Total,"Manganese, Total",ug/L,579.420441780727,579.420441780727
LAGUNA HILLS,Dissolved,"Manganese, Total",ug/L,579.420441780727,579.420441780727
LAGUNA HILLS,Total,MBAS,mg/L,96.41556151231295,96.41556151231295
LAGUNA HILLS,Total,"Mercury, Total",ug/L,0.04635363534245815,0.04635363534245815
LAGUNA HILLS,Dissolved,"Mercury, Total",ug/L,0.04635363534245815,0.04635363534245815
LAGUNA HILLS,Total,"Nickel, Total",ug/L,7.787410737532969,7.787410737532969
LAGUNA HILLS,Dissolved,"Nickel, Total",ug/L,7.787410737532969,7.787410737532969
LAGUNA HILLS,Total,"Selenium, Total",ug/L,13.998797873422362,13.998797873422362
LAGUNA HILLS,Dissolved,"Selenium, Total",ug/L,13.998797873422362,13.998797873422362
LAGUNA HILLS,Total,"Silver, Total",ug/L,0.1854145413698326,0.1854145413698326
LAGUNA HILLS,Dissolved,"Silver, Total",ug/L,0.1854145413698326,0.1854145413698326
LAGUNA HILLS,Total,"Thallium, Total",ug/L,0.1854145413698326,0.1854145413698326
LAGUNA HILLS,Dissolved,"Thallium, Total",ug/L,0.1854145413698326,0.1854145413698326
LAGUNA HILLS,Total,Total Organic Carbon (TOC),mg/L,6674.923489313973,6674.923489313973
LAGUNA HILLS,Total,"Zinc, Total",ug/L,14.369626956162026,14.369626956162026
LAGUNA HILLS,Dissolved,"Zinc, Total",ug/L,14.369626956162026,14.369626956162026
LAGUNA HILLS,Total,"Ammonia, as Nitrogen",mg/L,148.33163309586607,148.33163309586607
LAGUNA HILLS,Total,Nitrate + Nitrite as N,mg/L,2781.218120547489,2781.218120547489
LAGUNA HILLS,Total,"Nitrogen, Total Kjeldahl",mg/L,1075.404339945029,1075.404339945029
LAGUNA HILLS,Total,Orthophosphate as P,mg/L,84.36361632327383,84.36361632327383
LAGUNA HILLS,Total,pH,NA,NA,NA
LAGUNA HILLS,Total,Phosphorus as PO4,mg/L,528.4314429040228,528.4314429040228
LAGUNA HILLS,Total,Sulfate,mg/L,1779979.5971503928,1779979.5971503928
LAGUNA HILLS,Total,Total Dissolved Solids,mg/L,3708290.827396652,3708290.827396652
LAGUNA HILLS,Total,VSS,mg/L,5191.607158355313,5191.607158355313
LAGUNA HILLS,Total,TSS,mg/L,2039.5599550681584,2039.5599550681584
LAGUNA HILLS,Total,E. coli,CFU/100 mL,4835896777318.944,4835896777318.944
LAGUNA HILLS,Total,Enterococcus,CFU/100 mL,14844100542552.932,14844100542552.932
LAGUNA HILLS,Total,Fecal coliforms,CFU/100 mL,15138459476824.521,15138459476824.521
LAGUNA HILLS,Total,Total Coliforms,CFU/100 mL,212779458202033.56,212779458202033.56
DANA POINT,Total,d10-Acenaphthene,ng/L,0.04486225191047183,0.04486225191047183
DANA POINT,Total,d10-Phenanthrene,ng/L,0.04750912477318967,0.04750912477318967
DANA POINT,Total,d12-Chrysene,ng/L,0.05230938572761015,0.05230938572761015
DANA POINT,Total,d8-Naphthalene,ng/L,0.039299332673573315,0.039299332673573315
DANA POINT,Total,PCB030,ng/L,0.0404657512232456,0.0404657512232456
DANA POINT,Total,PCB112,ng/L,0.0404657512232456,0.0404657512232456
DANA POINT,Total,PCB198,ng/L,0.04194620553629116,0.04194620553629116
DANA POINT,Total,TCMX,ng/L,0.03396072469622718,0.03396072469622718
DANA POINT,Total,"2,4'-DDD",ng/L,5.383470229256619e-4,5.383470229256619e-4
DANA POINT,Total,"2,4'-DDE",ng/L,5.383470229256619e-4,5.383470229256619e-4
DANA POINT,Total,"2,4'-DDT",ng/L,5.383470229256619e-4,5.383470229256619e-4
DANA POINT,Total,"4,4'-DDD",ng/L,6.383257557547135e-4,6.383257557547135e-4
DANA POINT,Total,"4,4'-DDE",ng/L,0.0010220902763831495,0.0010220902763831495
DANA POINT,Total,"4,4'-DDT",ng/L,5.383470229256619e-4,5.383470229256619e-4
DANA POINT,Total,Acenaphthene,ng/L,0.0013458675573141546,0.0013458675573141546
DANA POINT,Total,Acenaphthylene,ng/L,0.0013458675573141546,0.0013458675573141546
DANA POINT,Total,Aldrin,ng/L,0.0013458675573141546,0.0013458675573141546
DANA POINT,Total,Anthracene,ng/L,0.0013458675573141546,0.0013458675573141546
DANA POINT,Total,Benz[a]anthracene,ng/L,0.0013458675573141546,0.0013458675573141546
DANA POINT,Total,Benzo[a]pyrene,ng/L,0.0013458675573141546,0.0013458675573141546
DANA POINT,Total,Benzo[b]fluoranthene,ng/L,0.0013458675573141546,0.0013458675573141546
DANA POINT,Total,"Benzo[g,h,i]perylene",ng/L,0.0013458675573141546,0.0013458675573141546
DANA POINT,Total,Benzo[k]fluoranthene,ng/L,0.0013458675573141546,0.0013458675573141546
DANA POINT,Total,BHC-alpha,ng/L,0.0013458675573141546,0.0013458675573141546
DANA POINT,Total,BHC-beta,ng/L,0.0013458675573141546,0.0013458675573141546
DANA POINT,Total,BHC-delta,ng/L,0.0013458675573141546,0.0013458675573141546
DANA POINT,Total,BHC-gamma,ng/L,0.0013458675573141546,0.0013458675573141546
DANA POINT,Total,Bolstar (Sulprofos),ng/L,0.0010766940458513238,0.0010766940458513238
DANA POINT,Total,Chlordane-alpha,ng/L,5.383470229256619e-4,5.383470229256619e-4
DANA POINT,Total,Chlordane-gamma,ng/L,5.383470229256619e-4,5.383470229256619e-4
DANA POINT,Total,Chlorpyrifos,ng/L,2.6917351146283096e-4,2.6917351146283096e-4
DANA POINT,Total,Chrysene,ng/L,0.0013458675573141546,0.0013458675573141546
DANA POINT,Total,Demeton,ng/L,5.383470229256619e-4,5.383470229256619e-4
DANA POINT,Total,Diazinon,ng/L,2.6917351146283096e-4,2.6917351146283096e-4
DANA POINT,Total,"Dibenz[a,h]anthracene",ng/L,0.0013458675573141546,0.0013458675573141546
DANA POINT,Total,Dichlorvos,ng/L,0.0016150410687769856,0.0016150410687769856
DANA POINT,Total,Dieldrin,ng/L,5.383470229256619e-4,5.383470229256619e-4
DANA POINT,Total,Dimethoate,ng/L,0.0026917351146283092,0.0026917351146283092
DANA POINT,Total,Disulfoton,ng/L,5.383470229256619e-4,5.383470229256619e-4
DANA POINT,Total,Endosulfan-I,ng/L,0.0013458675573141546,0.0013458675573141546
DANA POINT,Total,Endosulfan-II,ng/L,0.0013458675573141546,0.0013458675573141546
DANA POINT,Total,Endosulfan Sulfate,ng/L,0.0013458675573141546,0.0013458675573141546
DANA POINT,Total,Endrin,ng/L,0.0013458675573141546,0.0013458675573141546
DANA POINT,Total,Endrin Aldehyde,ng/L,0.0013458675573141546,0.0013458675573141546
DANA POINT,Total,Ethoprop (Ethoprofos),ng/L,5.383470229256619e-4,5.383470229256619e-4
DANA POINT,Total,Fenchlorphos (Ronnel),ng/L,0.0010766940458513238,0.0010766940458513238
DANA POINT,Total,Fensulfothion,ng/L,5.383470229256619e-4,5.383470229256619e-4
DANA POINT,Total,Fenthion,ng/L,0.0010766940458513238,0.0010766940458513238
DANA POINT,Total,Fluoranthene,ng/L,0.001988295004672111,0.001988295004672111
DANA POINT,Total,Fluorene,ng/L,0.0013458675573141546,0.0013458675573141546
DANA POINT,Total,Heptachlor,ng/L,0.0013458675573141546,0.0013458675573141546
DANA POINT,Total,Heptachlor Epoxide,ng/L,0.0013458675573141546,0.0013458675573141546
DANA POINT,Total,"Indeno[1,2,3-cd]pyrene",ng/L,0.0013458675573141546,0.0013458675573141546
DANA POINT,Total,Malathion,ng/L,0.0013458675573141546,0.0013458675573141546
DANA POINT,Total,Merphos,ng/L,5.383470229256619e-4,5.383470229256619e-4
DANA POINT,Total,Methoxychlor,ng/L,0.0013458675573141546,0.0013458675573141546
DANA POINT,Total,Methyl Parathion,ng/L,5.383470229256619e-4,5.383470229256619e-4
DANA POINT,Total,Mevinphos (Phosdrin),ng/L,0.0026917351146283092,0.0026917351146283092
DANA POINT,Total,Mirex,ng/L,0.0013458675573141546,0.0013458675573141546
DANA POINT,Total,Naphthalene,ng/L,0.002506902636757166,0.002506902636757166
DANA POINT,Total,Phenanthrene,ng/L,0.0022772079069755505,0.0022772079069755505
DANA POINT,Total,Phorate,ng/L,0.0026917351146283092,0.0026917351146283092
DANA POINT,Total,Pyrene,ng/L,0.0021060135536851896,0.0021060135536851896
DANA POINT,Total,Tetrachlorvinphos (Stirofos),ng/L,0.0010766940458513238,0.0010766940458513238
DANA POINT,Total,Tokuthion (Prothiofos),ng/L,0.0016150410687769856,0.0016150410687769856
DANA POINT,Total,Toxaphene,ng/L,0.006729337786570773,0.006729337786570773
DANA POINT,Total,trans-Nonachlor,ng/L,5.383470229256619e-4,5.383470229256619e-4
DANA POINT,Total,Trichloronate,ng/L,5.383470229256619e-4,5.383470229256619e-4
DANA POINT,Total,"Arsenic, Total",ug/L,1.10293846321895,1.10293846321895
DANA POINT,Dissolved,"Arsenic, Total",ug/L,1.10293846321895,1.10293846321895
DANA POINT,Total,"Cadmium, Total",ug/L,0.3393829357027194,0.3393829357027194
DANA POINT,Dissolved,"Cadmium, Total",ug/L,0.3393829357027194,0.3393829357027194
DANA POINT,Total,"Calcium, Total",ug/L,92.81102675238412,92.81102675238412
DANA POINT,Total,Chromium 6+,ug/L,0.09619107698918168,0.09619107698918168
DANA POINT,Dissolved,Chromium 6+,ug/L,0.09619107698918168,0.09619107698918168
DANA POINT,Total,"Chromium, Total",ug/L,0.25150899977308266,0.25150899977308266
DANA POINT,Dissolved,"Chromium, Total",ug/L,0.25150899977308266,0.25150899977308266
DANA POINT,Total,"Copper, Total",ug/L,3.505984986803373,3.505984986803373
DANA POINT,Dissolved,"Copper, Total",ug/L,3.505984986803373,3.505984986803373
DANA POINT,Total,Dissolved Organic Carbon,ug/L,5.172617645277403,5.172617645277403
DANA POINT,Total,"Hardness as CaCO3, Total",ug/L,447.54582505886697,447.54582505886697
DANA POINT,Total,"Iron, Total",ug/L,81.0391718510763,81.0391718510763
DANA POINT,Dissolved,"Iron, Total",ug/L,81.0391718510763,81.0391718510763
DANA POINT,Total,"Lead, Total",ug/L,0.06998511298033605,0.06998511298033605
DANA POINT,Dissolved,"Lead, Total",ug/L,0.06998511298033605,0.06998511298033605
DANA POINT,Total,"Magnesium, Total",ug/L,52.385651555857955,52.385651555857955
DANA POINT,Total,"Manganese, Total",ug/L,71.31752186207707,71.31752186207707
DANA POINT,Dissolved,"Manganese, Total",ug/L,71.31752186207707,71.31752186207707
DANA POINT,Total,MBAS,mg/L,37.107491223090264,37.107491223090264
DANA POINT,Total,"Mercury, Total",ug/L,0.01345867557314155,0.01345867557314155
DANA POINT,Dissolved,"Mercury, Total",ug/L,0.01345867557314155,0.01345867557314155
DANA POINT,Total,"Nickel, Total",ug/L,5.096992706342607,5.096992706342607
DANA POINT,Dissolved,"Nickel, Total",ug/L,5.096992706342607,5.096992706342607
DANA POINT,Total,"Selenium, Total",ug/L,2.2756697726243336,2.2756697726243336
DANA POINT,Dissolved,"Selenium, Total",ug/L,2.2756697726243336,2.2756697726243336
DANA POINT,Total,"Silver, Total",ug/L,0.0538347022925662,0.0538347022925662
DANA POINT,Dissolved,"Silver, Total",ug/L,0.0538347022925662,0.0538347022925662
DANA POINT,Total,"Thallium, Total",ug/L,0.0538347022925662,0.0538347022925662
DANA POINT,Dissolved,"Thallium, Total",ug/L,0.0538347022925662,0.0538347022925662
DANA POINT,Total,Total Organic Carbon (TOC),mg/L,4414.445587990427,4414.445587990427
DANA POINT,Total,"Zinc, Total",ug/L,5.4026969086468215,5.4026969086468215
DANA POINT,Dissolved,"Zinc, Total",ug/L,5.4026969086468215,5.4026969086468215
DANA POINT,Total,"Ammonia, as Nitrogen",mg/L,104.59313588270004,104.59313588270004
DANA POINT,Total,Nitrate + Nitrite as N,mg/L,945.6962702727461,945.6962702727461
DANA POINT,Total,"Nitrogen, Total Kjeldahl",mg/L,914.7413164545205,914.7413164545205
DANA POINT,Total,Orthophosphate as P,mg/L,149.8399213809759,149.8399213809759
DANA POINT,Total,pH,NA,NA,NA
DANA POINT,Total,Phosphorus as PO4,mg/L,752.3399645386125,752.3399645386125
DANA POINT,Total,Sulfate,mg/L,375497.04849064915,375497.04849064915
DANA POINT,Total,Total Dissolved Solids,mg/L,1178979.9802071995,1178979.9802071995
DANA POINT,Total,VSS,mg/L,2122.6254046783242,2122.6254046783242
DANA POINT,Total,TSS,mg/L,3472.33829787052,3472.33829787052
DANA POINT,Total,E. coli,CFU/100 mL,4499931529220.343,4499931529220.343
DANA POINT,Total,Enterococcus,CFU/100 mL,14013011994851.096,14013011994851.096
DANA POINT,Total,Fecal coliforms,CFU/100 mL,7637911317581.895,7637911317581.895
DANA POINT,Total,Total Coliforms,CFU/100 mL,61849813957856.58,61849813957856.58
RANCHO SANTA MARGARITA,Total,d10-Acenaphthene,ng/L,0.038074922582917434,0.038074922582917434
RANCHO SANTA MARGARITA,Total,d10-Phenanthrene,ng/L,0.05202808196320343,0.05202808196320343
RANCHO SANTA MARGARITA,Total,d12-Chrysene,ng/L,0.05156934795618034,0.05156934795618034
RANCHO SANTA MARGARITA,Total,d8-Naphthalene,ng/L,0.03023821662960612,0.03023821662960612
RANCHO SANTA MARGARITA,Total,PCB030,ng/L,0.03711922673495264,0.03711922673495264
RANCHO SANTA MARGARITA,Total,PCB112,ng/L,0.05042251293862258,0.05042251293862258
RANCHO SANTA MARGARITA,Total,PCB198,ng/L,0.060323521923537855,0.060323521923537855
RANCHO SANTA MARGARITA,Total,TCMX,ng/L,0.027753407424897642,0.027753407424897642
RANCHO SANTA MARGARITA,Total,"2,4'-DDD",ng/L,5.351896748602852e-4,5.351896748602852e-4
RANCHO SANTA MARGARITA,Total,"2,4'-DDE",ng/L,5.351896748602852e-4,5.351896748602852e-4
RANCHO SANTA MARGARITA,Total,"2,4'-DDT",ng/L,5.351896748602852e-4,5.351896748602852e-4
RANCHO SANTA MARGARITA,Total,"4,4'-DDD",ng/L,5.351896748602852e-4,5.351896748602852e-4
RANCHO SANTA MARGARITA,Total,"4,4'-DDE",ng/L,5.351896748602852e-4,5.351896748602852e-4
RANCHO SANTA MARGARITA,Total,"4,4'-DDT",ng/L,5.351896748602852e-4,5.351896748602852e-4
RANCHO SANTA MARGARITA,Total,Acenaphthene,ng/L,0.0013379741871507131,0.0013379741871507131
RANCHO SANTA MARGARITA,Total,Acenaphthylene,ng/L,0.0013379741871507131,0.0013379741871507131
RANCHO SANTA MARGARITA,Total,Aldrin,ng/L,0.0013379741871507131,0.0013379741871507131
RANCHO SANTA MARGARITA,Total,Anthracene,ng/L,0.0013379741871507131,0.0013379741871507131
RANCHO SANTA MARGARITA,Total,Benz[a]anthracene,ng/L,0.0013379741871507131,0.0013379741871507131
RANCHO SANTA MARGARITA,Total,Benzo[a]pyrene,ng/L,0.0013379741871507131,0.0013379741871507131
RANCHO SANTA MARGARITA,Total,Benzo[b]fluoranthene,ng/L,0.0013379741871507131,0.0013379741871507131
RANCHO SANTA MARGARITA,Total,"Benzo[g,h,i]perylene",ng/L,0.0013379741871507131,0.0013379741871507131
RANCHO SANTA MARGARITA,Total,Benzo[k]fluoranthene,ng/L,0.0013379741871507131,0.0013379741871507131
RANCHO SANTA MARGARITA,Total,BHC-alpha,ng/L,0.0013379741871507131,0.0013379741871507131
RANCHO SANTA MARGARITA,Total,BHC-beta,ng/L,0.0013379741871507131,0.0013379741871507131
RANCHO SANTA MARGARITA,Total,BHC-delta,ng/L,0.0013379741871507131,0.0013379741871507131
RANCHO SANTA MARGARITA,Total,BHC-gamma,ng/L,0.0013379741871507131,0.0013379741871507131
RANCHO SANTA MARGARITA,Total,Bolstar (Sulprofos),ng/L,0.0010703793497205704,0.0010703793497205704
RANCHO SANTA MARGARITA,Total,Chlordane-alpha,ng/L,5.351896748602852e-4,5.351896748602852e-4
RANCHO SANTA MARGARITA,Total,Chlordane-gamma,ng/L,5.351896748602852e-4,5.351896748602852e-4
RANCHO SANTA MARGARITA,Total,Chlorpyrifos,ng/L,2.675948374301426e-4,2.675948374301426e-4
RANCHO SANTA MARGARITA,Total,Chrysene,ng/L,0.0013379741871507131,0.0013379741871507131
RANCHO SANTA MARGARITA,Total,Demeton,ng/L,5.351896748602852e-4,5.351896748602852e-4
RANCHO SANTA MARGARITA,Total,Diazinon,ng/L,2.675948374301426e-4,2.675948374301426e-4
RANCHO SANTA MARGARITA,Total,"Dibenz[a,h]anthracene",ng/L,0.0013379741871507131,0.0013379741871507131
RANCHO SANTA MARGARITA,Total,Dichlorvos,ng/L,0.0016055690245808556,0.0016055690245808556
RANCHO SANTA MARGARITA,Total,Dieldrin,ng/L,5.351896748602852e-4,5.351896748602852e-4
RANCHO SANTA MARGARITA,Total,Dimethoate,ng/L,0.0026759483743014263,0.0026759483743014263
RANCHO SANTA MARGARITA,Total,Disulfoton,ng/L,5.351896748602852e-4,5.351896748602852e-4
RANCHO SANTA MARGARITA,Total,Endosulfan-I,ng/L,0.0013379741871507131,0.0013379741871507131
RANCHO SANTA MARGARITA,Total,Endosulfan-II,ng/L,0.0013379741871507131,0.0013379741871507131
RANCHO SANTA MARGARITA,Total,Endosulfan Sulfate,ng/L,0.0013379741871507131,0.0013379741871507131
RANCHO SANTA MARGARITA,Total,Endrin,ng/L,0.0013379741871507131,0.0013379741871507131
RANCHO SANTA MARGARITA,Total,Endrin Aldehyde,ng/L,0.0013379741871507131,0.0013379741871507131
RANCHO SANTA MARGARITA,Total,Ethoprop (Ethoprofos),ng/L,5.351896748602852e-4,5.351896748602852e-4
RANCHO SANTA MARGARITA,Total,Fenchlorphos (Ronnel),ng/L,0.0010703793497205704,0.0010703793497205704
RANCHO SANTA MARGARITA,Total,Fensulfothion,ng/L,5.351896748602852e-4,5.351896748602852e-4
RANCHO SANTA MARGARITA,Total,Fenthion,ng/L,0.0010703793497205704,0.0010703793497205704
RANCHO SANTA MARGARITA,Total,Fluoranthene,ng/L,0.0016376804050724728,0.0016376804050724728
RANCHO SANTA MARGARITA,Total,Fluorene,ng/L,0.001906613216689766,0.001906613216689766
RANCHO SANTA MARGARITA,Total,Heptachlor,ng/L,0.0013379741871507131,0.0013379741871507131
RANCHO SANTA MARGARITA,Total,Heptachlor Epoxide,ng/L,0.0013379741871507131,0.0013379741871507131
RANCHO SANTA MARGARITA,Total,"Indeno[1,2,3-cd]pyrene",ng/L,0.0013379741871507131,0.0013379741871507131
RANCHO SANTA MARGARITA,Total,Malathion,ng/L,0.0013379741871507131,0.0013379741871507131
RANCHO SANTA MARGARITA,Total,Merphos,ng/L,5.351896748602852e-4,5.351896748602852e-4
RANCHO SANTA MARGARITA,Total,Methoxychlor,ng/L,0.0013379741871507131,0.0013379741871507131
RANCHO SANTA MARGARITA,Total,Methyl Parathion,ng/L,5.351896748602852e-4,5.351896748602852e-4
RANCHO SANTA MARGARITA,Total,Mevinphos (Phosdrin),ng/L,0.0026759483743014263,0.0026759483743014263
RANCHO SANTA MARGARITA,Total,Mirex,ng/L,0.0013379741871507131,0.0013379741871507131
RANCHO SANTA MARGARITA,Total,Naphthalene,ng/L,0.0013379741871507131,0.0013379741871507131
RANCHO SANTA MARGARITA,Total,Phenanthrene,ng/L,0.007733490801731121,0.007733490801731121
RANCHO SANTA MARGARITA,Total,Phorate,ng/L,0.0026759483743014263,0.0026759483743014263
RANCHO SANTA MARGARITA,Total,Pyrene,ng/L,0.0034947885768376627,0.0034947885768376627
RANCHO SANTA MARGARITA,Total,Tetrachlorvinphos (Stirofos),ng/L,0.0010703793497205704,0.0010703793497205704
RANCHO SANTA MARGARITA,Total,Tokuthion (Prothiofos),ng/L,0.0016055690245808556,0.0016055690245808556
RANCHO SANTA MARGARITA,Total,Toxaphene,ng/L,0.0066898709357535655,0.0066898709357535655
RANCHO SANTA MARGARITA,Total,trans-Nonachlor,ng/L,5.351896748602852e-4,5.351896748602852e-4
RANCHO SANTA MARGARITA,Total,Trichloronate,ng/L,5.351896748602852e-4,5.351896748602852e-4
RANCHO SANTA MARGARITA,Total,"Arsenic, Total",ug/L,1.9744676218952666,1.9744676218952666
RANCHO SANTA MARGARITA,Dissolved,"Arsenic, Total",ug/L,1.9744676218952666,1.9744676218952666
RANCHO SANTA MARGARITA,Total,"Cadmium, Total",ug/L,1.1667134911954218,1.1667134911954218
RANCHO SANTA MARGARITA,Dissolved,"Cadmium, Total",ug/L,1.1667134911954218,1.1667134911954218
RANCHO SANTA MARGARITA,Total,"Calcium, Total",ug/L,86.90333484713476,86.90333484713476
RANCHO SANTA MARGARITA,Total,Chromium 6+,ug/L,0.026105363029296138,0.026105363029296138
RANCHO SANTA MARGARITA,Dissolved,Chromium 6+,ug/L,0.026105363029296138,0.026105363029296138
RANCHO SANTA MARGARITA,Total,"Chromium, Total",ug/L,0.1623966169654178,0.1623966169654178
RANCHO SANTA MARGARITA,Dissolved,"Chromium, Total",ug/L,0.1623966169654178,0.1623966169654178
RANCHO SANTA MARGARITA,Total,"Copper, Total",ug/L,2.551707914066003,2.551707914066003
RANCHO SANTA MARGARITA,Dissolved,"Copper, Total",ug/L,2.551707914066003,2.551707914066003
RANCHO SANTA MARGARITA,Total,Dissolved Organic Carbon,ug/L,5.363365098778431,5.363365098778431
RANCHO SANTA MARGARITA,Total,"Hardness as CaCO3, Total",ug/L,318.74367921321846,318.74367921321846
RANCHO SANTA MARGARITA,Total,"Iron, Total",ug/L,53.48551813134976,53.48551813134976
RANCHO SANTA MARGARITA,Dissolved,"Iron, Total",ug/L,53.48551813134976,53.48551813134976
RANCHO SANTA MARGARITA,Total,"Lead, Total",ug/L,0.05351896748602853,0.05351896748602853
RANCHO SANTA MARGARITA,Dissolved,"Lead, Total",ug/L,0.05351896748602853,0.05351896748602853
RANCHO SANTA MARGARITA,Total,"Magnesium, Total",ug/L,24.718117411761465,24.718117411761465
RANCHO SANTA MARGARITA,Total,"Manganese, Total",ug/L,64.71972282417592,64.71972282417592
RANCHO SANTA MARGARITA,Dissolved,"Manganese, Total",ug/L,64.71972282417592,64.71972282417592
RANCHO SANTA MARGARITA,Total,MBAS,mg/L,35.96474615061116,35.96474615061116
RANCHO SANTA MARGARITA,Total,"Mercury, Total",ug/L,0.013379741871507133,0.013379741871507133
RANCHO SANTA MARGARITA,Dissolved,"Mercury, Total",ug/L,0.013379741871507133,0.013379741871507133
RANCHO SANTA MARGARITA,Total,"Nickel, Total",ug/L,4.478692542251861,4.478692542251861
RANCHO SANTA MARGARITA,Dissolved,"Nickel, Total",ug/L,4.478692542251861,4.478692542251861
RANCHO SANTA MARGARITA,Total,"Selenium, Total",ug/L,2.9218011311903695,2.9218011311903695
RANCHO SANTA MARGARITA,Dissolved,"Selenium, Total",ug/L,2.9218011311903695,2.9218011311903695
RANCHO SANTA MARGARITA,Total,"Silver, Total",ug/L,0.05351896748602853,0.05351896748602853
RANCHO SANTA MARGARITA,Dissolved,"Silver, Total",ug/L,0.05351896748602853,0.05351896748602853
RANCHO SANTA MARGARITA,Total,"Thallium, Total",ug/L,0.07209319737823842,0.07209319737823842
RANCHO SANTA MARGARITA,Dissolved,"Thallium, Total",ug/L,0.07209319737823842,0.07209319737823842
RANCHO SANTA MARGARITA,Total,Total Organic Carbon (TOC),mg/L,4912.276658539046,4912.276658539046
RANCHO SANTA MARGARITA,Total,"Zinc, Total",ug/L,5.5812637521144035,5.5812637521144035
RANCHO SANTA MARGARITA,Dissolved,"Zinc, Total",ug/L,5.5812637521144035,5.5812637521144035
RANCHO SANTA MARGARITA,Total,"Ammonia, as Nitrogen",mg/L,105.03097369133098,105.03097369133098
RANCHO SANTA MARGARITA,Total,Nitrate + Nitrite as N,mg/L,706.0680924763907,706.0680924763907
RANCHO SANTA MARGARITA,Total,"Nitrogen, Total Kjeldahl",mg/L,834.131336103673,834.131336103673
RANCHO SANTA MARGARITA,Total,Orthophosphate as P,mg/L,151.38222231762353,151.38222231762353
RANCHO SANTA MARGARITA,Total,pH,NA,NA,NA
RANCHO SANTA MARGARITA,Total,Phosphorus as PO4,mg/L,643.3744448499,643.3744448499
RANCHO SANTA MARGARITA,Total,Sulfate,mg/L,261478.38400316794,261478.38400316794
RANCHO SANTA MARGARITA,Total,Total Dissolved Solids,mg/L,646814.9499025734,646814.9499025734
RANCHO SANTA MARGARITA,Total,VSS,mg/L,1525.2905733518128,1525.2905733518128
RANCHO SANTA MARGARITA,Total,TSS,mg/L,1179.8499650329015,1179.8499650329015
RANCHO SANTA MARGARITA,Total,E. coli,CFU/100 mL,11079194207325.809,11079194207325.809
RANCHO SANTA MARGARITA,Total,Enterococcus,CFU/100 mL,25815553260203.457,25815553260203.457
RANCHO SANTA MARGARITA,Total,Fecal coliforms,CFU/100 mL,21874680614112.117,21874680614112.117
RANCHO SANTA MARGARITA,Total,Total Coliforms,CFU/100 mL,353561497796685.94,353561497796685.94
MISSION VIEJO,Total,d10-Acenaphthene,ng/L,0.09600004336482738,0.09600004336482738
MISSION VIEJO,Total,d10-Phenanthrene,ng/L,0.11109639569905272,0.11109639569905272
MISSION VIEJO,Total,d12-Chrysene,ng/L,0.10928908591256098,0.10928908591256098
MISSION VIEJO,Total,d8-Naphthalene,ng/L,0.07250501614043442,0.07250501614043442
MISSION VIEJO,Total,PCB030,ng/L,0.0902591769842065,0.0902591769842065
MISSION VIEJO,Total,PCB112,ng/L,0.09982728761857466,0.09982728761857466
